region,topic_id,count,total,proportion,topic_words
Africa & Middle East,0,2642,4507,0.5862,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Africa & Middle East,1,59,4507,0.0131,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding"
Africa & Middle East,2,91,4507,0.0202,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
Africa & Middle East,3,23,4507,0.0051,"tourism, tourist, hospitality, hotel, service, industry, destination, tourism industry, customer, experience"
Africa & Middle East,4,31,4507,0.0069,"sentiment, emotion, facial, review, tweet, opinion, text, machine, expression, learning"
Africa & Middle East,5,32,4507,0.0071,"speech, hearing, language, voice, recognition, sound, child, acoustic, feature, sign language"
Africa & Middle East,6,9,4507,0.002,"sport, player, game, football, team, performance, training, match, physical, injury"
Africa & Middle East,7,22,4507,0.0049,"adhd, autism, disorder, child, diagnosis, spectrum, symptom, diagnostic, feature, individual"
Africa & Middle East,8,17,4507,0.0038,"journalism, news, journalist, medium, journalistic, content, artificial intelligence, artificial, intelligence, news medium"
Africa & Middle East,9,36,4507,0.008,"library, academic library, service, academic, information, technology, li, university, artificial intelligence, intelligence"
Africa & Middle East,10,9,4507,0.002,"retinal, eye, image, disease, patient, visual, screening, diagnosis, accuracy, clinical"
Africa & Middle East,11,7,4507,0.0016,"price, housing, estate, real estate, valuation, real, property, market, house, appraisal"
Africa & Middle East,12,14,4507,0.0031,"image, video, recognition, object, face, network, deep, feature, learning, neural"
Africa & Middle East,13,4,4507,0.0009,"heritage, cultural, cultural heritage, archaeological, ancient, site, archaeology, bone, preservation, image"
Africa & Middle East,14,4,4507,0.0009,"music, musical, audio, education, teaching, creative, artificial, intelligence, learning, feature"
Africa & Middle East,15,8,4507,0.0018,"crime, violence, police, offender, sexual, abuse, criminal, predictive, prediction, risk"
Africa & Middle East,16,14,4507,0.0031,"text, language, document, word, corpus, classification, semantic, processing, arabic, news"
Africa & Middle East,17,15,4507,0.0033,"religious, islamic, religion, spiritual, intelligence, human, artificial intelligence, artificial, ethical, technology"
Africa & Middle East,18,11,4507,0.0024,"entrepreneurial, entrepreneurship, entrepreneur, intention, business, ecosystem, digital, innovation, social, student"
Africa & Middle East,19,18,4507,0.004,"price, market, return, investor, volatility, asset, trading, lstm, forecasting, investment"
Africa & Middle East,20,13,4507,0.0029,"eeg, seizure, signal, eeg signal, brain, feature, epilepsy, classification, accuracy, electroencephalography"
Africa & Middle East,21,8,4507,0.0018,"trust, trustworthiness, human, user, fear, trustworthy, perceived, intelligence, technology, artificial intelligence"
Africa & Middle East,22,5,4507,0.0011,"poverty, household, conflict, income, migration, estimate, machine learning, machine, wealth, satellite"
Africa & Middle East,23,4,4507,0.0009,"sequence, bacterial, antibiotic, ca, dna, genome, resistance, gene, protein, bacteria"
Africa & Middle East,24,13,4507,0.0029,"fake, news, fake news, social, social medium, twitter, medium, bot, tweet, user"
Africa & Middle East,25,1,4507,0.0002,"cell, microscopy, image, tissue, imaging, cellular, raman, phenotype, morphology, single"
Africa & Middle East,26,3,4507,0.0007,"quantum, quantum computing, classical, computing, machine, learning, machine learning, entanglement, computer, algorithm"
Africa & Middle East,27,15,4507,0.0033,"ghz, band, channel, design, frequency, gain, bandwidth, wireless, communication, simulation"
Africa & Middle East,28,9,4507,0.002,"sex, age, dental, forensic, skeletal, estimation, image, age estimation, teeth, accuracy"
Africa & Middle East,29,2,4507,0.0004,"sleep, sleep quality, anxiety, wake, patient, symptom, disorder, stage, disturbance, quality"
Africa & Middle East,30,22,4507,0.0049,"translation, translator, language, machine translation, arabic, translate, text, english, google translate, literary"
Africa & Middle East,31,1,4507,0.0002,"fairness, bias, fair, algorithmic, discrimination, decision, metric, algorithm, unfair, perception"
Africa & Middle East,32,5,4507,0.0011,"blockchain, blockchain technology, technology, chain, accounting, supply chain, decentralized, secure, supply, artificial intelligence"
Africa & Middle East,33,4,4507,0.0009,"customer, chatbots, assistant, user, chatbot, voice, consumer, satisfaction, service, intention"
Africa & Middle East,34,4,4507,0.0009,"military, weapon, war, autonomous, international, warfare, autonomous weapon, state, intelligence, security"
Africa & Middle East,35,7,4507,0.0016,"gender, bias, stereotype, woman, gender bias, female, gendered, male, representation, artificial"
Africa & Middle East,36,3,4507,0.0007,"personality, trait, personality trait, psychological, social, machine learning, machine, agreeableness, conscientiousness, social medium"
Africa & Middle East,37,2,4507,0.0004,"causal, effect, treatment effect, treatment, estimator, inference, estimate, causal inference, estimation, machine learning"
Africa & Middle East,38,11,4507,0.0024,"malaria, disease, outbreak, vector, parasite, public health, machine, specie, control, health"
Africa & Middle East,39,34,4507,0.0075,"drug, solvent, inf, sup, formulation, pharmaceutical, regression, temperature, inf inf, sup sup"
Africa & Middle East,40,7,4507,0.0016,"dental, dentistry, student, education, clinical, diagnostic, oral, intelligence, artificial intelligence, group"
Africa & Middle East,42,11,4507,0.0024,"disability, disabled, people, student disability, education, special, student, inclusive, accessibility, teacher"
Africa & Middle East,43,12,4507,0.0027,"network, sensor, edge, iot, node, wireless, wireless sensor, computing, device, latency"
Africa & Middle East,44,8,4507,0.0018,"optical, design, sensor, sup, modulation, device, fiber, graphene, refractive, refractive index"
Africa & Middle East,45,4,4507,0.0009,"tumor, brain, mri, image, imaging, segmentation, feature, resonance, magnetic resonance, classification"
Asia-Pacific,0,9129,16062,0.5684,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Asia-Pacific,1,336,16062,0.0209,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding"
Asia-Pacific,2,198,16062,0.0123,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
Asia-Pacific,3,158,16062,0.0098,"tourism, tourist, hospitality, hotel, service, industry, destination, tourism industry, customer, experience"
Asia-Pacific,4,123,16062,0.0077,"sentiment, emotion, facial, review, tweet, opinion, text, machine, expression, learning"
Asia-Pacific,5,85,16062,0.0053,"speech, hearing, language, voice, recognition, sound, child, acoustic, feature, sign language"
Asia-Pacific,6,98,16062,0.0061,"sport, player, game, football, team, performance, training, match, physical, injury"
Asia-Pacific,7,59,16062,0.0037,"adhd, autism, disorder, child, diagnosis, spectrum, symptom, diagnostic, feature, individual"
Asia-Pacific,8,22,16062,0.0014,"journalism, news, journalist, medium, journalistic, content, artificial intelligence, artificial, intelligence, news medium"
Asia-Pacific,9,55,16062,0.0034,"library, academic library, service, academic, information, technology, li, university, artificial intelligence, intelligence"
Asia-Pacific,10,72,16062,0.0045,"retinal, eye, image, disease, patient, visual, screening, diagnosis, accuracy, clinical"
Asia-Pacific,11,66,16062,0.0041,"price, housing, estate, real estate, valuation, real, property, market, house, appraisal"
Asia-Pacific,12,71,16062,0.0044,"image, video, recognition, object, face, network, deep, feature, learning, neural"
Asia-Pacific,13,30,16062,0.0019,"heritage, cultural, cultural heritage, archaeological, ancient, site, archaeology, bone, preservation, image"
Asia-Pacific,14,64,16062,0.004,"music, musical, audio, education, teaching, creative, artificial, intelligence, learning, feature"
Asia-Pacific,15,39,16062,0.0024,"crime, violence, police, offender, sexual, abuse, criminal, predictive, prediction, risk"
Asia-Pacific,16,45,16062,0.0028,"text, language, document, word, corpus, classification, semantic, processing, arabic, news"
Asia-Pacific,17,26,16062,0.0016,"religious, islamic, religion, spiritual, intelligence, human, artificial intelligence, artificial, ethical, technology"
Asia-Pacific,18,44,16062,0.0027,"entrepreneurial, entrepreneurship, entrepreneur, intention, business, ecosystem, digital, innovation, social, student"
Asia-Pacific,19,39,16062,0.0024,"price, market, return, investor, volatility, asset, trading, lstm, forecasting, investment"
Asia-Pacific,20,35,16062,0.0022,"eeg, seizure, signal, eeg signal, brain, feature, epilepsy, classification, accuracy, electroencephalography"
Asia-Pacific,21,25,16062,0.0016,"trust, trustworthiness, human, user, fear, trustworthy, perceived, intelligence, technology, artificial intelligence"
Asia-Pacific,22,28,16062,0.0017,"poverty, household, conflict, income, migration, estimate, machine learning, machine, wealth, satellite"
Asia-Pacific,23,27,16062,0.0017,"sequence, bacterial, antibiotic, ca, dna, genome, resistance, gene, protein, bacteria"
Asia-Pacific,24,48,16062,0.003,"fake, news, fake news, social, social medium, twitter, medium, bot, tweet, user"
Asia-Pacific,25,19,16062,0.0012,"cell, microscopy, image, tissue, imaging, cellular, raman, phenotype, morphology, single"
Asia-Pacific,26,32,16062,0.002,"quantum, quantum computing, classical, computing, machine, learning, machine learning, entanglement, computer, algorithm"
Asia-Pacific,27,38,16062,0.0024,"ghz, band, channel, design, frequency, gain, bandwidth, wireless, communication, simulation"
Asia-Pacific,28,39,16062,0.0024,"sex, age, dental, forensic, skeletal, estimation, image, age estimation, teeth, accuracy"
Asia-Pacific,29,33,16062,0.0021,"sleep, sleep quality, anxiety, wake, patient, symptom, disorder, stage, disturbance, quality"
Asia-Pacific,30,22,16062,0.0014,"translation, translator, language, machine translation, arabic, translate, text, english, google translate, literary"
Asia-Pacific,31,9,16062,0.0006,"fairness, bias, fair, algorithmic, discrimination, decision, metric, algorithm, unfair, perception"
Asia-Pacific,32,30,16062,0.0019,"blockchain, blockchain technology, technology, chain, accounting, supply chain, decentralized, secure, supply, artificial intelligence"
Asia-Pacific,33,36,16062,0.0022,"customer, chatbots, assistant, user, chatbot, voice, consumer, satisfaction, service, intention"
Asia-Pacific,34,11,16062,0.0007,"military, weapon, war, autonomous, international, warfare, autonomous weapon, state, intelligence, security"
Asia-Pacific,35,11,16062,0.0007,"gender, bias, stereotype, woman, gender bias, female, gendered, male, representation, artificial"
Asia-Pacific,36,13,16062,0.0008,"personality, trait, personality trait, psychological, social, machine learning, machine, agreeableness, conscientiousness, social medium"
Asia-Pacific,37,6,16062,0.0004,"causal, effect, treatment effect, treatment, estimator, inference, estimate, causal inference, estimation, machine learning"
Asia-Pacific,38,19,16062,0.0012,"malaria, disease, outbreak, vector, parasite, public health, machine, specie, control, health"
Asia-Pacific,39,9,16062,0.0006,"drug, solvent, inf, sup, formulation, pharmaceutical, regression, temperature, inf inf, sup sup"
Asia-Pacific,40,18,16062,0.0011,"dental, dentistry, student, education, clinical, diagnostic, oral, intelligence, artificial intelligence, group"
Asia-Pacific,41,33,16062,0.0021,"patent, technology, convergence, technological, trademark, promising technology, promising, search, firm, citation"
Asia-Pacific,42,7,16062,0.0004,"disability, disabled, people, student disability, education, special, student, inclusive, accessibility, teacher"
Asia-Pacific,43,24,16062,0.0015,"network, sensor, edge, iot, node, wireless, wireless sensor, computing, device, latency"
Asia-Pacific,44,18,16062,0.0011,"optical, design, sensor, sup, modulation, device, fiber, graphene, refractive, refractive index"
Asia-Pacific,45,32,16062,0.002,"tumor, brain, mri, image, imaging, segmentation, feature, resonance, magnetic resonance, classification"
Europe,0,5734,11544,0.4967,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Europe,1,224,11544,0.0194,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding"
Europe,2,73,11544,0.0063,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
Europe,3,91,11544,0.0079,"tourism, tourist, hospitality, hotel, service, industry, destination, tourism industry, customer, experience"
Europe,4,51,11544,0.0044,"sentiment, emotion, facial, review, tweet, opinion, text, machine, expression, learning"
Europe,5,64,11544,0.0055,"speech, hearing, language, voice, recognition, sound, child, acoustic, feature, sign language"
Europe,6,65,11544,0.0056,"sport, player, game, football, team, performance, training, match, physical, injury"
Europe,7,43,11544,0.0037,"adhd, autism, disorder, child, diagnosis, spectrum, symptom, diagnostic, feature, individual"
Europe,8,84,11544,0.0073,"journalism, news, journalist, medium, journalistic, content, artificial intelligence, artificial, intelligence, news medium"
Europe,9,26,11544,0.0023,"library, academic library, service, academic, information, technology, li, university, artificial intelligence, intelligence"
Europe,10,35,11544,0.003,"retinal, eye, image, disease, patient, visual, screening, diagnosis, accuracy, clinical"
Europe,11,36,11544,0.0031,"price, housing, estate, real estate, valuation, real, property, market, house, appraisal"
Europe,12,23,11544,0.002,"image, video, recognition, object, face, network, deep, feature, learning, neural"
Europe,13,72,11544,0.0062,"heritage, cultural, cultural heritage, archaeological, ancient, site, archaeology, bone, preservation, image"
Europe,14,31,11544,0.0027,"music, musical, audio, education, teaching, creative, artificial, intelligence, learning, feature"
Europe,15,21,11544,0.0018,"crime, violence, police, offender, sexual, abuse, criminal, predictive, prediction, risk"
Europe,16,41,11544,0.0036,"text, language, document, word, corpus, classification, semantic, processing, arabic, news"
Europe,17,44,11544,0.0038,"religious, islamic, religion, spiritual, intelligence, human, artificial intelligence, artificial, ethical, technology"
Europe,18,40,11544,0.0035,"entrepreneurial, entrepreneurship, entrepreneur, intention, business, ecosystem, digital, innovation, social, student"
Europe,19,44,11544,0.0038,"price, market, return, investor, volatility, asset, trading, lstm, forecasting, investment"
Europe,20,29,11544,0.0025,"eeg, seizure, signal, eeg signal, brain, feature, epilepsy, classification, accuracy, electroencephalography"
Europe,21,41,11544,0.0036,"trust, trustworthiness, human, user, fear, trustworthy, perceived, intelligence, technology, artificial intelligence"
Europe,22,39,11544,0.0034,"poverty, household, conflict, income, migration, estimate, machine learning, machine, wealth, satellite"
Europe,23,24,11544,0.0021,"sequence, bacterial, antibiotic, ca, dna, genome, resistance, gene, protein, bacteria"
Europe,24,12,11544,0.001,"fake, news, fake news, social, social medium, twitter, medium, bot, tweet, user"
Europe,25,32,11544,0.0028,"cell, microscopy, image, tissue, imaging, cellular, raman, phenotype, morphology, single"
Europe,26,15,11544,0.0013,"quantum, quantum computing, classical, computing, machine, learning, machine learning, entanglement, computer, algorithm"
Europe,27,20,11544,0.0017,"ghz, band, channel, design, frequency, gain, bandwidth, wireless, communication, simulation"
Europe,28,21,11544,0.0018,"sex, age, dental, forensic, skeletal, estimation, image, age estimation, teeth, accuracy"
Europe,29,18,11544,0.0016,"sleep, sleep quality, anxiety, wake, patient, symptom, disorder, stage, disturbance, quality"
Europe,30,24,11544,0.0021,"translation, translator, language, machine translation, arabic, translate, text, english, google translate, literary"
Europe,31,28,11544,0.0024,"fairness, bias, fair, algorithmic, discrimination, decision, metric, algorithm, unfair, perception"
Europe,32,24,11544,0.0021,"blockchain, blockchain technology, technology, chain, accounting, supply chain, decentralized, secure, supply, artificial intelligence"
Europe,33,16,11544,0.0014,"customer, chatbots, assistant, user, chatbot, voice, consumer, satisfaction, service, intention"
Europe,34,29,11544,0.0025,"military, weapon, war, autonomous, international, warfare, autonomous weapon, state, intelligence, security"
Europe,35,37,11544,0.0032,"gender, bias, stereotype, woman, gender bias, female, gendered, male, representation, artificial"
Europe,36,29,11544,0.0025,"personality, trait, personality trait, psychological, social, machine learning, machine, agreeableness, conscientiousness, social medium"
Europe,37,24,11544,0.0021,"causal, effect, treatment effect, treatment, estimator, inference, estimate, causal inference, estimation, machine learning"
Europe,38,17,11544,0.0015,"malaria, disease, outbreak, vector, parasite, public health, machine, specie, control, health"
Europe,39,7,11544,0.0006,"drug, solvent, inf, sup, formulation, pharmaceutical, regression, temperature, inf inf, sup sup"
Europe,40,21,11544,0.0018,"dental, dentistry, student, education, clinical, diagnostic, oral, intelligence, artificial intelligence, group"
Europe,41,17,11544,0.0015,"patent, technology, convergence, technological, trademark, promising technology, promising, search, firm, citation"
Europe,42,9,11544,0.0008,"disability, disabled, people, student disability, education, special, student, inclusive, accessibility, teacher"
Europe,43,9,11544,0.0008,"network, sensor, edge, iot, node, wireless, wireless sensor, computing, device, latency"
Europe,44,17,11544,0.0015,"optical, design, sensor, sup, modulation, device, fiber, graphene, refractive, refractive index"
Europe,45,7,11544,0.0006,"tumor, brain, mri, image, imaging, segmentation, feature, resonance, magnetic resonance, classification"
Latin America,0,761,1311,0.5805,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Latin America,1,31,1311,0.0236,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding"
Latin America,2,3,1311,0.0023,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
Latin America,3,5,1311,0.0038,"tourism, tourist, hospitality, hotel, service, industry, destination, tourism industry, customer, experience"
Latin America,4,6,1311,0.0046,"sentiment, emotion, facial, review, tweet, opinion, text, machine, expression, learning"
Latin America,5,4,1311,0.0031,"speech, hearing, language, voice, recognition, sound, child, acoustic, feature, sign language"
Latin America,6,6,1311,0.0046,"sport, player, game, football, team, performance, training, match, physical, injury"
Latin America,7,5,1311,0.0038,"adhd, autism, disorder, child, diagnosis, spectrum, symptom, diagnostic, feature, individual"
Latin America,8,12,1311,0.0092,"journalism, news, journalist, medium, journalistic, content, artificial intelligence, artificial, intelligence, news medium"
Latin America,9,3,1311,0.0023,"library, academic library, service, academic, information, technology, li, university, artificial intelligence, intelligence"
Latin America,10,2,1311,0.0015,"retinal, eye, image, disease, patient, visual, screening, diagnosis, accuracy, clinical"
Latin America,11,8,1311,0.0061,"price, housing, estate, real estate, valuation, real, property, market, house, appraisal"
Latin America,12,1,1311,0.0008,"image, video, recognition, object, face, network, deep, feature, learning, neural"
