doc_id,country,region,doc_type,topic_id,chunk_count,total_chunks,proportion,topic_words
ASEAN_Expanded_Guide_AI_Governance_GenAI_2025,ASEAN,International,Regional Framework,0,1,19,0.0526,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
ASEAN_Expanded_Guide_AI_Governance_GenAI_2025,ASEAN,International,Regional Framework,2,1,19,0.0526,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
ASEAN_Guide_AI_Governance_Ethics_2024,ASEAN,International,Regional Framework,0,8,34,0.2353,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
AfricanUnion_Continental_AI_Strategy_2024,African Union,International,Continental Strategy,0,6,29,0.2069,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Australia_AI_Ethics_Framework_2019,Australia,Asia-Pacific,Framework,0,11,45,0.2444,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Australia_AI_Ethics_Framework_2019,Australia,Asia-Pacific,Framework,15,2,45,0.0444,"crime, violence, police, offender, sexual, abuse, criminal, predictive, prediction, risk"
Australia_AI_Ethics_Framework_2019,Australia,Asia-Pacific,Framework,31,2,45,0.0444,"fairness, bias, fair, algorithmic, discrimination, decision, metric, algorithm, unfair, perception"
Brazil_National_AI_Plan_PBIA_2024,Brazil,Latin America,National Strategy,0,3,23,0.1304,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Chile_National_AI_Policy_2021,Chile,Latin America,National Strategy,0,3,28,0.1071,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Chile_National_AI_Policy_2021,Chile,Latin America,National Strategy,2,1,28,0.0357,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
Chile_National_AI_Policy_2021,Chile,Latin America,National Strategy,35,2,28,0.0714,"gender, bias, stereotype, woman, gender bias, female, gendered, male, representation, artificial"
China_New_Generation_AI_Development_Plan_2017,China,Asia-Pacific,National Strategy,0,7,19,0.3684,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Colombia_National_AI_Policy_CONPES4144_2025,Colombia,Latin America,National Policy,0,19,108,0.1759,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Colombia_National_AI_Policy_CONPES4144_2025,Colombia,Latin America,National Policy,12,1,108,0.0093,"image, video, recognition, object, face, network, deep, feature, learning, neural"
CouncilOfEurope_AI_Framework_Convention_CETS225_2024,Council of Europe,International,Binding International Treaty,0,1,6,0.1667,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,0,21,96,0.2188,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2,1,96,0.0104,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,4,1,96,0.0104,"sentiment, emotion, facial, review, tweet, opinion, text, machine, expression, learning"
EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,12,1,96,0.0104,"image, video, recognition, object, face, network, deep, feature, learning, neural"
EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,15,1,96,0.0104,"crime, violence, police, offender, sexual, abuse, criminal, predictive, prediction, risk"
Egypt_National_AI_Strategy_2021,Egypt,Africa & Middle East,National Strategy,0,10,29,0.3448,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
France_AI_Strategy_2021,France,Europe,National Strategy,0,4,22,0.1818,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
G7_Hiroshima_AI_Process_Guiding_Principles_2023,G7,International,International Principles,2,1,2,0.5,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
Germany_AI_Strategy_Update_2023,Germany,Europe,National Strategy,0,4,15,0.2667,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
India_National_AI_Strategy_2021,India,Asia-Pacific,National Strategy,0,13,53,0.2453,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Japan_AI_Strategy_2022,Japan,Asia-Pacific,National Strategy,0,2,16,0.125,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Kenya_National_AI_Strategy_Draft_2025,Kenya,Africa & Middle East,National Strategy,0,3,34,0.0882,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Kenya_National_AI_Strategy_Draft_2025,Kenya,Africa & Middle East,National Strategy,25,1,34,0.0294,"cell, microscopy, image, tissue, imaging, cellular, raman, phenotype, morphology, single"
Mexico_AI_National_Agenda_2018,Mexico,Latin America,Policy Agenda,0,741,742,0.9987,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Nigeria_National_AI_Strategy_2024,Nigeria,Africa & Middle East,National Strategy,0,3,27,0.1111,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Rwanda_National_AI_Policy_2023,Rwanda,Africa & Middle East,National Strategy,0,2,7,0.2857,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Singapore_Model_AI_Governance_Framework_2020,Singapore,Asia-Pacific,Framework,0,7,20,0.35,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Singapore_Model_AI_Governance_GenAI_2024,Singapore,Asia-Pacific,Framework,0,1,12,0.0833,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Singapore_Model_AI_Governance_GenAI_2024,Singapore,Asia-Pacific,Framework,2,1,12,0.0833,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
SouthAfrica_National_AI_Policy_Framework_2023,South Africa,Africa & Middle East,Policy Framework,0,1,5,0.2,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
UAE_National_AI_Strategy_2031,UAE,Africa & Middle East,National Strategy,0,3,13,0.2308,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
UK_AI_Opportunities_Action_Plan_2025,United Kingdom,Europe,Action Plan,0,1,11,0.0909,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
UK_National_AI_Strategy_2021,United Kingdom,Europe,National Strategy,0,4,11,0.3636,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
UNESCO_Recommendation_Ethics_AI_2021,UNESCO,International,International Recommendation,0,3,18,0.1667,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
UNESCO_Recommendation_Ethics_AI_2021,UNESCO,International,International Recommendation,9,1,18,0.0556,"library, academic library, service, academic, information, technology, li, university, artificial intelligence, intelligence"
USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,0,2,16,0.125,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,0,4,33,0.1212,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2,1,33,0.0303,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,0,2,12,0.1667,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Zimbabwe_National_AI_Strategy,Zimbabwe,Africa & Middle East,National Strategy,0,8,30,0.2667,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
