topic_id,dominant_document,dominant_doc_share,total_chunks,top_keywords
0,EU_AI_Act_Regulation_2024_1689,0.833,215,"shall, article, regulation, risk, high risk, ai, systems, risk ai, high, union"
2,India_National_AI_Strategy_2021,0.742,66,"india, ai, research, data, national, intelligence, artificial, sector, national strategy, artificial intelligence"
3,Australia_AI_Ethics_Framework_2019,0.694,62,"australia, ai, ethical, ethics, human, principles, data, artificial, artificial intelligence, intelligence"
4,Kenya_National_AI_Strategy_Draft_2025,0.974,38,"kenya, ai, strategy, development, kenya ai, ai strategy, innovation, digital, data, local"
5,Egypt_National_AI_Strategy_2021,0.757,37,"egypt, ai, egyptian, research, university, total, strategy, companies, impact, programs"
6,Zimbabwe_National_AI_Strategy,0.943,35,"zimbabwe, national, ai, pillar, strategy, national ai, development, strategic, governance, ministry"
7,China_New_Generation_AI_Development_Plan_2017,0.735,34,"intelligent, new, development, ai, research, smart, technology, generation, new generation, intelligence"
10,AfricanUnion_Continental_AI_Strategy_2024,0.88,25,"africa, ai, african, au, development, strategy, regional, continental, economic, continent"
12,UAE_National_AI_Strategy_2031,0.958,24,"uae, 2031, ai, intelligence, artificial, objective, national strategy, strategy artificial, artificial intelligence, government"
13,Nigeria_National_AI_Strategy_2024,1.0,24,"nigeria, ai, 2024, national, strategy, jun, cited 2024, 2024 jun, cited, development"
14,USA_OMB_M2521_Federal_AI_Governance_2025,0.933,15,"agencies, agency, ai, memorandum, use, 0mb, federal, use ai, ai use, high impact"
17,Japan_AI_Strategy_2022,0.6,15,"japan, ai, climate, resilience, disasters, environmental, change, climate change, social, contribute"
18,UK_AI_Opportunities_Action_Plan_2025,0.846,13,"uk, compute, ai, government, frontier, opportunities, plan, action plan, action, ai opportunities"
19,Australia_AI_Ethics_Framework_2019,1.0,13,"vehicles, avs, australia, recognition, facial, facial recognition, automated, vehicle, safety, australian"
