topic_id_finetuned,topic_label_finetuned,balanced,opportunity_focused,risk_focused,dominant_stance,avg_risk_score,avg_opportunity_score,paper_count
103,"AI Law, Ethics & Human Rights",0.3124,0.284,0.4037,risk_focused,0.4356,0.3367,986
2,AI Cybersecurity & IoT Threats,0.3054,0.3916,0.303,opportunity_focused,0.3848,0.3987,429
114,Generative AI & Creative Ethics,0.2185,0.6821,0.0993,opportunity_focused,0.2309,0.5689,302
124,AI Research Landscape (Bibliometrics),0.4333,0.5278,0.0389,opportunity_focused,0.214,0.4843,180
8,"AI, Journalism & Media",0.3742,0.3374,0.2883,balanced,0.3588,0.3803,163
15,Predictive Policing & Criminal Justice AI,0.4032,0.2984,0.2984,balanced,0.3708,0.3762,124
129,AI in Public Administration & Governance,0.2295,0.582,0.1885,opportunity_focused,0.2662,0.5158,122
17,AI Ethics from Islamic/Religious Perspective,0.2833,0.325,0.3917,risk_focused,0.3983,0.3861,120
135,EU AI Regulation & Regulatory Frameworks,0.29,0.2,0.51,risk_focused,0.4807,0.3091,100
21,Trust & Trustworthiness in AI,0.4388,0.3367,0.2245,balanced,0.3486,0.3557,98
24,"AI, Fake News & Disinformation",0.5287,0.092,0.3793,balanced,0.4191,0.2876,87
31,Algorithmic Fairness & Bias,0.4028,0.1111,0.4861,risk_focused,0.4704,0.2634,72
34,Autonomous Weapons & Military AI,0.1429,0.1286,0.7286,risk_focused,0.6181,0.2147,70
35,Gender Bias & AI Representation,0.4118,0.1912,0.3971,balanced,0.4358,0.312,68
148,Smart City & Urban AI Governance,0.1905,0.746,0.0635,opportunity_focused,0.2103,0.5818,63
151,AI Governance during COVID-19,0.3158,0.2982,0.386,risk_focused,0.4169,0.3671,57
42,AI Accessibility & Disability Inclusion,0.1538,0.7885,0.0577,opportunity_focused,0.186,0.6323,52
168,Digital Transformation & AI Adoption,0.2581,0.7419,0.0,opportunity_focused,0.1616,0.6089,31
177,Explainable AI & Transparency,0.5,0.4583,0.0417,balanced,0.246,0.4425,24
181,AI Patent Law & Intellectual Property,0.4211,0.4737,0.1053,opportunity_focused,0.3031,0.4442,19
183,UAV & Drone Governance,0.2105,0.5263,0.2632,opportunity_focused,0.3282,0.4776,19
