region,topic_id_finetuned,topic_label_finetuned,count,total,proportion
Africa & Middle East,2,AI Cybersecurity & IoT Threats,91,4507,0.0202
Africa & Middle East,8,"AI, Journalism & Media",17,4507,0.0038
Africa & Middle East,15,Predictive Policing & Criminal Justice AI,8,4507,0.0018
Africa & Middle East,17,AI Ethics from Islamic/Religious Perspective,15,4507,0.0033
Africa & Middle East,21,Trust & Trustworthiness in AI,8,4507,0.0018
Africa & Middle East,24,"AI, Fake News & Disinformation",13,4507,0.0029
Africa & Middle East,31,Algorithmic Fairness & Bias,1,4507,0.0002
Africa & Middle East,34,Autonomous Weapons & Military AI,4,4507,0.0009
Africa & Middle East,35,Gender Bias & AI Representation,7,4507,0.0016
Africa & Middle East,42,AI Accessibility & Disability Inclusion,11,4507,0.0024
Africa & Middle East,103,"AI Law, Ethics & Human Rights",63,4507,0.014
Africa & Middle East,114,Generative AI & Creative Ethics,12,4507,0.0027
Africa & Middle East,124,AI Research Landscape (Bibliometrics),9,4507,0.002
Africa & Middle East,129,AI in Public Administration & Governance,7,4507,0.0016
Africa & Middle East,135,EU AI Regulation & Regulatory Frameworks,4,4507,0.0009
Africa & Middle East,148,Smart City & Urban AI Governance,5,4507,0.0011
Africa & Middle East,151,AI Governance during COVID-19,9,4507,0.002
Africa & Middle East,168,Digital Transformation & AI Adoption,1,4507,0.0002
Africa & Middle East,183,UAV & Drone Governance,4,4507,0.0009
Asia-Pacific,2,AI Cybersecurity & IoT Threats,198,16062,0.0123
Asia-Pacific,8,"AI, Journalism & Media",22,16062,0.0014
Asia-Pacific,15,Predictive Policing & Criminal Justice AI,39,16062,0.0024
Asia-Pacific,17,AI Ethics from Islamic/Religious Perspective,26,16062,0.0016
Asia-Pacific,21,Trust & Trustworthiness in AI,25,16062,0.0016
Asia-Pacific,24,"AI, Fake News & Disinformation",48,16062,0.003
Asia-Pacific,31,Algorithmic Fairness & Bias,9,16062,0.0006
Asia-Pacific,34,Autonomous Weapons & Military AI,11,16062,0.0007
Asia-Pacific,35,Gender Bias & AI Representation,11,16062,0.0007
Asia-Pacific,42,AI Accessibility & Disability Inclusion,7,16062,0.0004
Asia-Pacific,103,"AI Law, Ethics & Human Rights",214,16062,0.0133
Asia-Pacific,114,Generative AI & Creative Ethics,105,16062,0.0065
Asia-Pacific,124,AI Research Landscape (Bibliometrics),73,16062,0.0045
Asia-Pacific,129,AI in Public Administration & Governance,19,16062,0.0012
Asia-Pacific,135,EU AI Regulation & Regulatory Frameworks,11,16062,0.0007
Asia-Pacific,148,Smart City & Urban AI Governance,20,16062,0.0012
Asia-Pacific,151,AI Governance during COVID-19,19,16062,0.0012
Asia-Pacific,168,Digital Transformation & AI Adoption,15,16062,0.0009
Asia-Pacific,177,Explainable AI & Transparency,11,16062,0.0007
Asia-Pacific,181,AI Patent Law & Intellectual Property,3,16062,0.0002
Asia-Pacific,183,UAV & Drone Governance,6,16062,0.0004
Europe,2,AI Cybersecurity & IoT Threats,73,11544,0.0063
Europe,8,"AI, Journalism & Media",84,11544,0.0073
Europe,15,Predictive Policing & Criminal Justice AI,21,11544,0.0018
Europe,17,AI Ethics from Islamic/Religious Perspective,44,11544,0.0038
Europe,21,Trust & Trustworthiness in AI,41,11544,0.0036
Europe,24,"AI, Fake News & Disinformation",12,11544,0.001
Europe,31,Algorithmic Fairness & Bias,28,11544,0.0024
Europe,34,Autonomous Weapons & Military AI,29,11544,0.0025
Europe,35,Gender Bias & AI Representation,37,11544,0.0032
Europe,42,AI Accessibility & Disability Inclusion,9,11544,0.0008
Europe,103,"AI Law, Ethics & Human Rights",467,11544,0.0405
Europe,114,Generative AI & Creative Ethics,123,11544,0.0107
Europe,124,AI Research Landscape (Bibliometrics),52,11544,0.0045
Europe,129,AI in Public Administration & Governance,66,11544,0.0057
Europe,135,EU AI Regulation & Regulatory Frameworks,70,11544,0.0061
Europe,148,Smart City & Urban AI Governance,31,11544,0.0027
Europe,151,AI Governance during COVID-19,17,11544,0.0015
Europe,168,Digital Transformation & AI Adoption,10,11544,0.0009
Europe,177,Explainable AI & Transparency,10,11544,0.0009
Europe,181,AI Patent Law & Intellectual Property,11,11544,0.001
Europe,183,UAV & Drone Governance,5,11544,0.0004
Latin America,2,AI Cybersecurity & IoT Threats,3,1311,0.0023
