academic_topic_id,academic_topic_label,academic_top10,best_policy_topic_id,best_policy_label,policy_top10,cosine_similarity,vocab_overlap_exact,vocab_overlap_fuzzy,cosine_overlap_gap,register_convergence_flag,substantive_alignment_flag
135,EU AI Regulation & Regulatory Frameworks,wildfire; forest; area; rcp; risk; detection; occurrence; factor; burn; random,8,International AI Policy Principles (OECD/Multi-country),intelligent; new; development; ai; research; smart; technology; generation; new generation; intelligence,0.7458,0,0,0.7458,True,False
177,Explainable AI & Transparency,gene; ibd; expression; inflammatory bowel; inflammatory; bowel; bowel disease; disease; gse; patient,1,AI Governance Frameworks (ASEAN/Singapore/NIST),shall; article; regulation; risk; high risk; ai; systems; risk ai; high; union,0.6695,0,0,0.6695,True,False
34,Autonomous Weapons & Military AI,customer; chatbots; assistant; user; chatbot; voice; consumer; satisfaction; service; intention,8,International AI Policy Principles (OECD/Multi-country),intelligent; new; development; ai; research; smart; technology; generation; new generation; intelligence,0.6442,0,0,0.6442,True,False
103,"AI Law, Ethics & Human Rights",crop; food; yield; agricultural; plant; agriculture; machine; farmer; production; rice,8,International AI Policy Principles (OECD/Multi-country),intelligent; new; development; ai; research; smart; technology; generation; new generation; intelligence,0.6375,0,0,0.6375,True,False
129,AI in Public Administration & Governance,supply chain; chain; supply; demand; inventory; forecasting; supplier; demand forecasting; product; sale,1,AI Governance Frameworks (ASEAN/Singapore/NIST),shall; article; regulation; risk; high risk; ai; systems; risk ai; high; union,0.6177,0,0,0.6177,True,False
21,Trust & Trustworthiness in AI,eeg; seizure; signal; eeg signal; brain; feature; epilepsy; classification; accuracy; electroencephalography,1,AI Governance Frameworks (ASEAN/Singapore/NIST),shall; article; regulation; risk; high risk; ai; systems; risk ai; high; union,0.6154,0,0,0.6154,True,False
181,AI Patent Law & Intellectual Property,plastic; recycling; waste; plastic waste; polymer; recycled; spectroscopic; spectroscopy; sorting; infrared,8,International AI Policy Principles (OECD/Multi-country),intelligent; new; development; ai; research; smart; technology; generation; new generation; intelligence,0.5735,0,0,0.5735,True,False
151,AI Governance during COVID-19,waste; waste management; solid waste; solid; management; waste generation; municipal; municipal solid; collection; recycling,1,AI Governance Frameworks (ASEAN/Singapore/NIST),shall; article; regulation; risk; high risk; ai; systems; risk ai; high; union,0.5689,0,0,0.5689,True,False
148,Smart City & Urban AI Governance,parkinson; parkinson disease; disease; voice; motor; feature; tremor; diagnosis; speech; patient,8,International AI Policy Principles (OECD/Multi-country),intelligent; new; development; ai; research; smart; technology; generation; new generation; intelligence,0.5475,0,0,0.5475,False,False
31,Algorithmic Fairness & Bias,translation; translator; language; machine translation; arabic; translate; text; english; google translate; literary,1,AI Governance Frameworks (ASEAN/Singapore/NIST),shall; article; regulation; risk; high risk; ai; systems; risk ai; high; union,0.5396,0,0,0.5396,False,False
2,AI Cybersecurity & IoT Threats,drug; protein; molecular; compound; inf; molecule; structure; property; chemical; binding,1,AI Governance Frameworks (ASEAN/Singapore/NIST),shall; article; regulation; risk; high risk; ai; systems; risk ai; high; union,0.5373,0,0,0.5373,False,False
24,"AI, Fake News & Disinformation",sequence; bacterial; antibiotic; ca; dna; genome; resistance; gene; protein; bacteria,15,Generative AI Content Safety & Provenance,agencies; agency; ai; memorandum; use; 0mb; federal; use ai; ai use; high impact,0.5187,0,0,0.5187,False,False
35,Gender Bias & AI Representation,military; weapon; war; autonomous; international; warfare; autonomous weapon; state; intelligence; security,8,International AI Policy Principles (OECD/Multi-country),intelligent; new; development; ai; research; smart; technology; generation; new generation; intelligence,0.4978,1,1,0.3978,False,False
15,Predictive Policing & Criminal Justice AI,music; musical; audio; education; teaching; creative; artificial; intelligence; learning; feature,1,AI Governance Frameworks (ASEAN/Singapore/NIST),shall; article; regulation; risk; high risk; ai; systems; risk ai; high; union,0.4919,0,0,0.4919,False,False
17,AI Ethics from Islamic/Religious Perspective,text; language; document; word; corpus; classification; semantic; processing; arabic; news,8,International AI Policy Principles (OECD/Multi-country),intelligent; new; development; ai; research; smart; technology; generation; new generation; intelligence,0.4883,0,1,0.4883,False,False
114,Generative AI & Creative Ethics,cancer; breast; breast cancer; tumor; patient; gene; survival; cell; prognostic; clinical,15,Generative AI Content Safety & Provenance,agencies; agency; ai; memorandum; use; 0mb; federal; use ai; ai use; high impact,0.4747,0,0,0.4747,False,False
168,Digital Transformation & AI Adoption,drought; spi; precipitation; index; drought index; standardized precipitation; month; standardized; evapotranspiration; meteorological,1,AI Governance Frameworks (ASEAN/Singapore/NIST),shall; article; regulation; risk; high risk; ai; systems; risk ai; high; union,0.4721,0,0,0.4721,False,False
124,AI Research Landscape (Bibliometrics),birth; maternal; woman; pregnancy; child; infant; health; risk; gestational; neonatal,8,International AI Policy Principles (OECD/Multi-country),intelligent; new; development; ai; research; smart; technology; generation; new generation; intelligence,0.4597,0,0,0.4597,False,False
8,"AI, Journalism & Media",adhd; autism; disorder; child; diagnosis; spectrum; symptom; diagnostic; feature; individual,15,Generative AI Content Safety & Provenance,agencies; agency; ai; memorandum; use; 0mb; federal; use ai; ai use; high impact,0.4522,0,0,0.4522,False,False
