topic_id,topic_label,governance_score,paper_count,source,top_words,scopus_count,policy_count,in_scopus,in_policy,alignment
103,"AI Law, Ethics & Human Rights",0.95,986,topic0_subtopic,"legal, human, intelligence, law, artificial, artificial intelligence, ethical, right, moral, criminal",986,186,True,True,shared
2,AI Cybersecurity & IoT Threats,0.9,429,original,,429,6,True,True,shared
114,Generative AI & Creative Ethics,0.65,302,topic0_subtopic,"art, creative, design, creativity, image, human, artistic, visual, generative, aesthetic",302,0,True,False,academic_only
124,AI Research Landscape (Bibliometrics),0.5,180,topic0_subtopic,"topic, citation, publication, bibliometric, paper, collaboration, field, author, scientific, science",180,29,True,True,shared
8,"AI, Journalism & Media",0.7,163,original,,163,0,True,False,academic_only
15,Predictive Policing & Criminal Justice AI,0.8,124,original,,124,3,True,True,shared
129,AI in Public Administration & Governance,0.9,122,topic0_subtopic,"public, administration, public administration, government, public sector, sector, citizen, service, public service, governance",122,22,True,True,shared
17,AI Ethics from Islamic/Religious Perspective,0.5,120,original,,120,0,True,False,academic_only
135,EU AI Regulation & Regulatory Frameworks,1.0,100,topic0_subtopic,"regulation, act, european, regulatory, union, european union, protection, right, risk, commission",100,407,True,True,shared
21,Trust & Trustworthiness in AI,0.8,98,original,,98,0,True,False,academic_only
24,"AI, Fake News & Disinformation",0.8,87,original,,87,0,True,False,academic_only
31,Algorithmic Fairness & Bias,1.0,72,original,,72,2,True,True,shared
34,Autonomous Weapons & Military AI,0.9,70,original,,70,0,True,False,academic_only
35,Gender Bias & AI Representation,0.9,68,original,,68,2,True,True,shared
148,Smart City & Urban AI Governance,0.7,63,topic0_subtopic,"city, smart city, smart, urban, governance, sustainable, development, urban planning, planning, technology",63,123,True,True,shared
151,AI Governance during COVID-19,0.6,57,topic0_subtopic,"covid, pandemic, covid pandemic, crisis, health, public, public health, artificial intelligence, intelligence, coronavirus",57,0,True,False,academic_only
42,AI Accessibility & Disability Inclusion,0.5,52,original,,52,0,True,False,academic_only
168,Digital Transformation & AI Adoption,0.55,31,topic0_subtopic,"digital transformation, transformation, digital, business, company, innovation, digital technology, corporate digital, technology, manufacturing",31,7,True,True,shared
177,Explainable AI & Transparency,0.8,24,topic0_subtopic,"xai, explanation, user, explainable, explainable artificial, intelligence xai, trust, decision, explainability, human",24,0,True,False,academic_only
183,UAV & Drone Governance,0.6,19,topic0_subtopic,"uavs, uav, attack, aerial vehicle, unmanned aerial, drone, unmanned, aerial, flight, vehicle",19,0,True,False,academic_only
181,AI Patent Law & Intellectual Property,0.55,19,topic0_subtopic,"patent, invention, inventor, inventive, patent law, patentability, protection, european patent, law, european",19,0,True,False,academic_only
41,AI Patent & Technology Innovation,0.4,56,original,,0,0,False,False,neither
154,"Topic0_Sub_154: mental, mental health, health, psychotherapy, therapy, inter",0.1,51,topic0_subtopic,"mental, mental health, health, psychotherapy, therapy, intervention, treatment, psychotherapist, therapeutic, psychological",0,0,False,False,neither
152,"Topic0_Sub_152: insurance, claim, fraud, health insurance, premium, insuranc",0.1,53,topic0_subtopic,"insurance, claim, fraud, health insurance, premium, insurance company, insurer, life insurance, fraud detection, pricing",0,0,False,False,neither
153,"Topic0_Sub_153: disaster, evacuation, emergency, hurricane, disaster managem",0.1,52,topic0_subtopic,"disaster, evacuation, emergency, hurricane, disaster management, natural disaster, hazard, natural, management, disaster risk",0,0,False,False,neither
150,"Topic0_Sub_150: waste, waste management, solid waste, solid, management, was",0.1,58,topic0_subtopic,"waste, waste management, solid waste, solid, management, waste generation, municipal, municipal solid, collection, recycling",0,0,False,False,neither
40,AI in Dental Education,0.0,57,original,,0,0,False,False,neither
100,"Topic0_Sub_100: student, education, teacher, educational, teaching, learning",0.1,3686,topic0_subtopic,"student, education, teacher, educational, teaching, learning, academic, artificial intelligence, intelligence, artificial",0,0,False,False,neither
39,AI in Pharmaceutical Formulation,0.0,59,original,,0,0,False,False,neither
149,"Topic0_Sub_149: fatigue, movement, muscle, hand, rehabilitation, motion, emg",0.1,61,topic0_subtopic,"fatigue, movement, muscle, hand, rehabilitation, motion, emg, exercise, wearable, lifting",0,0,False,False,neither
44,AI in Optical & Photonic Devices,0.0,51,original,,0,0,False,False,neither
147,"Topic0_Sub_147: parkinson, parkinson disease, disease, voice, motor, feature",0.1,64,topic0_subtopic,"parkinson, parkinson disease, disease, voice, motor, feature, tremor, diagnosis, speech, patient",0,0,False,False,neither
37,Causal Inference with AI,0.4,64,original,,0,0,False,False,neither
36,AI in Personality & Psychological Profiling,0.2,66,original,,0,0,False,False,neither
146,"Topic0_Sub_146: employee, turnover, job, attrition, human resource, organiza",0.1,67,topic0_subtopic,"employee, turnover, job, attrition, human resource, organization, satisfaction, organizational, job satisfaction, retention",0,0,False,False,neither
145,"Topic0_Sub_145: safety, accident, incident, occupational, construction, inju",0.1,68,topic0_subtopic,"safety, accident, incident, occupational, construction, injury, risk, worker, fatality, fall",0,0,False,False,neither
144,"Topic0_Sub_144: adsorption, inf, hydrogen, inf inf, sup, removal, sup sup, g",0.1,69,topic0_subtopic,"adsorption, inf, hydrogen, inf inf, sup, removal, sup sup, gas, storage, removal efficiency",0,0,False,False,neither
32,AI & Blockchain Technology,0.3,71,original,,0,0,False,False,neither
33,Conversational AI & Chatbots,0.3,71,original,,0,0,False,False,neither
38,AI in Epidemiology & Public Health,0.3,63,original,,0,0,False,False,neither
