policy_topic_id,top_words,chunk_count
0,"shall, article, regulation, risk, high risk, ai, systems, risk ai, high, union",215
1,"ai, model, governance, risk, data, consider, organisations, deployers, risks, systems",70
2,"india, ai, research, data, national, intelligence, artificial, sector, national strategy, artificial intelligence",66
3,"australia, ai, ethical, ethics, human, principles, data, artificial, artificial intelligence, intelligence",62
4,"kenya, ai, strategy, development, kenya ai, ai strategy, innovation, digital, data, local",38
5,"egypt, ai, egyptian, research, university, total, strategy, companies, impact, programs",37
6,"zimbabwe, national, ai, pillar, strategy, national ai, development, strategic, governance, ministry",35
7,"intelligent, new, development, ai, research, smart, technology, generation, new generation, intelligence",34
8,"ai, policy, development, international, oecd, national, research, governance, systems, ai systems",32
9,"data, ai, marketplace, systems, learning, human, model, research, annotation, intelligence",26
10,"africa, ai, african, au, development, strategy, regional, continental, economic, continent",25
11,"al, gen, gen al, asean, al governance, guide al, generative al, al systems, guide, expanded",24
12,"uae, 2031, ai, intelligence, artificial, objective, national strategy, strategy artificial, artificial intelligence, government",24
13,"nigeria, ai, 2024, national, strategy, jun, cited 2024, 2024 jun, cited, development",24
14,"agencies, agency, ai, memorandum, use, 0mb, federal, use ai, ai use, high impact",15
15,"content, generative ai, generative, model, provenance, ai, safety, models, generated, content provenance",15
16,"data, privacy, protection, data protection, ai, personal, personal data, development, model, use",15
17,"japan, ai, climate, resilience, disasters, environmental, change, climate change, social, contribute",15
18,"uk, compute, ai, government, frontier, opportunities, plan, action plan, action, ai opportunities",13
19,"vehicles, avs, australia, recognition, facial, facial recognition, automated, vehicle, safety, australian",13
