id	label	weight
1	Tsinghua University	198
2	University of Chinese Academy of Sciences	172
3	University of Toronto	156
4	Harvard Medical School	148
5	University College London	141
6	University of Oxford	135
7	University of Tehran	134
8	Wuhan University	132
9	Monash University	132
10	King Khalid University	127
11	Beijing Normal University	121
12	Peking University	120
13	The Hong Kong Polytechnic University	117
14	Central South University	116
15	Vellore Institute of Technology	115
16	National University of Singapore	115
17	King Saud University	112
18	Tongji University	111
19	Universidade de São Paulo	110
20	Stanford University	108
21	University of Johannesburg	108
22	Universiti Malaya	107
23	Prince Sattam Bin Abdulaziz University	105
24	Korea University	104
25	King Fahd University of Petroleum and Minerals	104
26	The University of Hong Kong	102
27	Massachusetts Institute of Technology	100
28	Shanghai Jiao Tong University	100
29	Sapienza Università di Roma	100
30	University of Michigan, Ann Arbor	99
31	Princess Nourah Bint Abdulrahman University	98
32	University of Cambridge	97
33	K L Deemed to be University	97
34	University of California, Berkeley	96
35	UNSW Sydney	96
36	Imperial College London	94
37	Fudan University	93
38	Sun Yat-Sen University	92
39	Huazhong University of Science and Technology	91
40	Universiti Sains Malaysia	91
41	Technische Universität München	91
42	University of Illinois Urbana-Champaign	90
43	ETH Zürich	89
44	Seoul National University	88
45	Sungkyunkwan University	87
46	Alma Mater Studiorum Università di Bologna	87
47	Universiti Teknologi MARA	87
48	KU Leuven	86
49	Ludwig-Maximilians-Universität München	86
50	Chinese University of Hong Kong	86
51	Universiti Kebangsaan Malaysia	84
52	Nanjing University	84
53	Queensland University of Technology	83
54	Xi'an Jiaotong University	83
55	Deakin University	82
56	Texas A&M University	81
57	Xiamen University	81
58	University of Alberta	81
59	Tianjin University	80
60	Sichuan University	79
61	Yonsei University	79
62	University of Florida	78
63	Southeast University	78
64	Norges Teknisk-Naturvitenskapelige Universitet	78
65	Pennsylvania State University	78
66	Jilin University	76
67	Universidad Complutense de Madrid	75
68	Universiteit van Amsterdam	75
69	King Faisal University	74
70	Bucharest University of Economic Studies	73
71	SRM Institute of Science and Technology	73
72	King's College London	73
73	Chinese Academy of Sciences	73
74	Chongqing University	73
75	The University of Tokyo	72
76	University of Washington	72
77	Université McGill	71
78	University of Technology Sydney	71
79	Zhengzhou University	71
80	Università degli Studi di Padova	71
81	Columbia University	70
82	Universiti Teknologi Malaysia	69
83	Ministry of Education of the People's Republic of China	69
84	Università degli Studi di Napoli Federico II	68
85	The University of British Columbia	68
86	The University of Texas at Austin	68
87	Politecnico di Milano	68
88	Shandong University	68
89	The University of Queensland	67
90	The University of Jordan	67
91	The University of Manchester	67
92	Universidad de Granada	66
93	University of Birmingham	66
94	Universiti Putra Malaysia	65
95	Arizona State University	65
96	Qassim University	64
97	Chitkara University, Punjab	63
98	Harvard University	62
99	The University of Edinburgh	62
100	Gachon University	61
101	University of South Africa	60
102	Southwest Jiaotong University	60
103	University of Pennsylvania	60
104	University of Georgia	60
105	Tarbiat Modares University	60
106	Københavns Universitet	60
107	Guangzhou University	59
108	South China University of Technology	59
109	Kyung Hee University	58
110	Imam Mohammad Ibn Saud Islamic University	58
111	RMIT University	58
112	Siksha O Anusandhan (Deemed to be University)	58
113	The University of Sydney	57
114	Multimedia University	56
115	Dalian University of Technology	56
116	City University of Hong Kong	56
117	University of Leeds	56
118	University of Electronic Science and Technology of China	55
119	Lovely Professional University	55
120	University of Science and Technology of China	55
121	Purdue University	55
122	Beijing University of Technology	55
123	Shanghai University	55
124	Universidad de Sevilla	55
125	NC State University	55
126	The Education University of Hong Kong	54
127	Università degli Studi di Torino	54
128	Symbiosis Institute of Technology	54
129	University of Waterloo	54
130	Georgia Institute of Technology	53
131	Stanford University School of Medicine	53
132	University of Southern California	53
133	Taif University	53
134	Yale University	53
135	Renmin University of China	52
136	Amity University	52
137	Zhejiang University	52
138	University of California, Davis	52
139	University of Nottingham	52
140	Consiglio Nazionale delle Ricerche	52
141	Shenzhen University	52
142	University of California, Los Angeles	52
143	University of California, San Diego	51
144	University of Southampton	51
145	Eberhard Karls Universität Tübingen	51
146	Hanyang University	51
147	Southwestern University of Finance and Economics	51
148	University of Minnesota Twin Cities	51
149	East China Normal University	50
150	Universität Zürich	50
151	Universitat Politècnica de València	50
152	Vellore Institute of Technology, Chennai	50
153	Michigan State University	50
154	Qingdao University	50
155	JAIN (Deemed-to-be University)	50
156	Amirkabir University of Technology	50
157	Universiteit Gent	50
158	Beijing Institute of Technology	50
159	The Ohio State University	50
160	University of Melbourne	50
161	National Taiwan University	50
162	University of Sharjah	49
163	Manipal Institute of Technology	49
164	Fujian Medical University	49
165	Aarhus Universitet	49
166	Universitat de València	49
167	University of Žilina	49
168	Central China Normal University	49
169	Nanjing University of Information Science & Technology	49
170	Umm Al-Qura University	49
171	University of California, Irvine	49
172	Universidad Rey Juan Carlos	48
173	Bina Nusantara University	48
174	University of Montreal	48
175	Università degli Studi di Milano	48
176	Saveetha School of Engineering	48
177	Indian Institute of Technology Kharagpur	48
178	University College Dublin	48
179	Nankai University	48
180	University of Wisconsin-Madison	48
181	University of Toronto Faculty of Medicine	47
182	Universidad del Pais Vasco	47
183	Harvard T.H. Chan School of Public Health	47
184	The University of Sheffield	47
185	Tel Aviv University	47
186	Curtin University	46
187	Hunan University	46
188	Toronto Metropolitan University	46
189	Università di Pisa	46
190	University of Glasgow	46
191	Queen Mary University of London	46
192	The Royal Institute of Technology (KTH)	46
193	South China Normal University	46
194	İstanbul Teknik Üniversitesi	45
195	Applied Science Private University	45
196	National Taiwan University of Science and Technology	45
197	Cornell University	45
198	Hohai University	45
199	The University of North Carolina at Chapel Hill	45
200	Universitas Indonesia	45
201	Universitat de Barcelona	44
202	Karlsruher Institut für Technologie	44
203	Sejong University	44
204	Beihang University	44
205	China University of Geosciences	44
206	Northwestern University	44
207	Seoul National University College of Medicine	44
208	Universität Wien	43
209	Korea Advanced Institute of Science and Technology	43
210	University of Virginia	43
211	Universidade do Porto	43
212	Iran University of Science and Technology	43
213	Beijing Jiaotong University	43
214	Université Laval	43
215	Yıldız Teknik Üniversitesi	43
216	University of Pretoria	43
217	Universidade Estadual de Campinas	42
218	West China School of Medicine/West China Hospital of Sichuan University	42
219	Jinan University	42
220	Vrije Universiteit Amsterdam	42
221	Lanzhou University	42
222	Jiangsu University	42
223	Guangdong University of Technology	42
224	Charles University	42
225	Mayo Clinic	41
226	Yale School of Medicine	41
227	Commonwealth Scientific and Industrial Research Organisation	41
228	College of Sciences	41
229	Helsingin Yliopisto	41
230	Universidad Politécnica de Madrid	41
231	University of Bristol	41
232	Carnegie Mellon University	40
233	Uppsala Universitet	40
234	College of Engineering	40
235	Université Sidi Mohamed Ben Abdellah	40
236	Griffith University	40
237	Islamic Azad University	40
238	Univerza v Ljubljani	40
239	Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology	40
240	"Universidade Estadual Paulista ""Júlio de Mesquita Filho"""	40
241	University of Pittsburgh	40
242	University of Wollongong	40
243	Universidade de Brasília	39
