chunk_id,doc_id,country,reason
USA_National_AI_RD_Strategic_Plan_2023_chunk_2,USA_National_AI_RD_Strategic_Plan_2023,United States,non_alpha_ratio=0.41
USA_National_AI_RD_Strategic_Plan_2023_chunk_3,USA_National_AI_RD_Strategic_Plan_2023,United States,non_alpha_ratio=0.60
EU_AI_Act_Regulation_2024_1689_chunk_180,EU_AI_Act_Regulation_2024_1689,European Union,non_alpha_ratio=0.24
EU_AI_Act_Regulation_2024_1689_chunk_181,EU_AI_Act_Regulation_2024_1689,European Union,non_alpha_ratio=0.27
EU_AI_Act_Regulation_2024_1689_chunk_182,EU_AI_Act_Regulation_2024_1689,European Union,non_alpha_ratio=0.20
EU_AI_Act_Regulation_2024_1689_chunk_186,EU_AI_Act_Regulation_2024_1689,European Union,non_alpha_ratio=0.21
EU_AI_Act_Regulation_2024_1689_chunk_187,EU_AI_Act_Regulation_2024_1689,European Union,non_alpha_ratio=0.28
EU_AI_Act_Regulation_2024_1689_chunk_199,EU_AI_Act_Regulation_2024_1689,European Union,non_alpha_ratio=0.23
UK_National_AI_Strategy_2021_chunk_1,UK_National_AI_Strategy_2021,United Kingdom,avg_word_len=22.44 (>12)
UK_National_AI_Strategy_2021_chunk_2,UK_National_AI_Strategy_2021,United Kingdom,avg_word_len=27.06 (>12)
UK_National_AI_Strategy_2021_chunk_3,UK_National_AI_Strategy_2021,United Kingdom,avg_word_len=32.34 (>12)
UK_National_AI_Strategy_2021_chunk_4,UK_National_AI_Strategy_2021,United Kingdom,avg_word_len=35.40 (>12)
UK_National_AI_Strategy_2021_chunk_5,UK_National_AI_Strategy_2021,United Kingdom,avg_word_len=30.40 (>12)
UK_National_AI_Strategy_2021_chunk_6,UK_National_AI_Strategy_2021,United Kingdom,avg_word_len=32.40 (>12)
UK_National_AI_Strategy_2021_chunk_7,UK_National_AI_Strategy_2021,United Kingdom,avg_word_len=30.63 (>12)
UK_National_AI_Strategy_2021_chunk_8,UK_National_AI_Strategy_2021,United Kingdom,avg_word_len=32.51 (>12)
UK_National_AI_Strategy_2021_chunk_9,UK_National_AI_Strategy_2021,United Kingdom,avg_word_len=21.70 (>12)
UK_AI_Opportunities_Action_Plan_2025_chunk_0,UK_AI_Opportunities_Action_Plan_2025,United Kingdom,non_alpha_ratio=0.23
Germany_AI_Strategy_Update_2023_chunk_1,Germany_AI_Strategy_Update_2023,Germany,non_alpha_ratio=0.32
Singapore_Model_AI_Governance_Framework_2020_chunk_0,Singapore_Model_AI_Governance_Framework_2020,Singapore,non_alpha_ratio=0.33
