academic_topic_id,academic_topic_label,n_academic_papers,policy_topic_id,policy_label,cosine_similarity,exact_top10_overlap,raw_top50_overlap,overlap_examples
135,EU AI Regulation & Regulatory Frameworks,100,8,International AI Policy Principles (OECD/Multi-country),0.7458,0,20,"challenges, development, ethical, framework, frameworks, global, governance, human, innovation, international"
177,Explainable AI & Transparency,24,1,AI Governance Frameworks (ASEAN/Singapore/NIST),0.6695,0,13,"decision, decisions, design, development, explainability, human, information, level, making, process"
129,AI in Public Administration & Governance,122,1,AI Governance Frameworks (ASEAN/Singapore/NIST),0.6177,0,12,"decision, design, development, framework, governance, impact, information, level, making, management"
31,Algorithmic Fairness & Bias,72,1,AI Governance Frameworks (ASEAN/Singapore/NIST),0.5396,0,12,"decision, decisions, design, development, framework, human, impact, individuals, making, measures"
21,Trust & Trustworthiness in AI,98,1,AI Governance Frameworks (ASEAN/Singapore/NIST),0.6154,0,11,"decision, development, framework, human, impact, information, making, measures, risk, risks"
8,"AI, Journalism & Media",163,15,Generative AI Content Safety & Provenance,0.4522,0,11,"content, development, digital, generated, human, industry, information, media, practices, public"
34,Autonomous Weapons & Military AI,70,8,International AI Policy Principles (OECD/Multi-country),0.6442,0,10,"challenges, development, ethical, framework, governance, human, international, potential, states, strategy"
103,"AI Law, Ethics & Human Rights",986,8,International AI Policy Principles (OECD/Multi-country),0.6375,0,10,"challenges, development, ethical, framework, human, potential, principles, protection, public, rights"
148,Smart City & Urban AI Governance,63,8,International AI Policy Principles (OECD/Multi-country),0.5475,0,10,"adoption, challenges, development, framework, governance, government, human, innovation, policy, potential"
168,Digital Transformation & AI Adoption,31,1,AI Governance Frameworks (ASEAN/Singapore/NIST),0.4721,0,9,"business, decision, development, framework, impact, making, management, practices, process"
151,AI Governance during COVID-19,57,1,AI Governance Frameworks (ASEAN/Singapore/NIST),0.5689,0,9,"business, decision, development, framework, human, impact, information, making, management"
114,Generative AI & Creative Ethics,302,15,Generative AI Content Safety & Provenance,0.4747,0,8,"development, digital, evaluation, generated, generative, human, image, tools"
35,Gender Bias & AI Representation,68,8,International AI Policy Principles (OECD/Multi-country),0.4978,1,7,"development, framework, human, policy, potential, public, societal"
24,"AI, Fake News & Disinformation",87,15,Generative AI Content Safety & Provenance,0.5187,0,7,"content, human, information, media, public, techniques, users"
17,AI Ethics from Islamic/Religious Perspective,120,8,International AI Policy Principles (OECD/Multi-country),0.4883,0,7,"challenges, development, ethical, framework, human, potential, principles"
42,AI Accessibility & Disability Inclusion,52,1,AI Governance Frameworks (ASEAN/Singapore/NIST),0.4296,0,6,"design, development, impact, individuals, practices, training"
2,AI Cybersecurity & IoT Threats,429,1,AI Governance Frameworks (ASEAN/Singapore/NIST),0.5373,0,4,"decision, development, framework, information"
181,AI Patent Law & Intellectual Property,19,8,International AI Policy Principles (OECD/Multi-country),0.5735,0,3,"human, potential, protection"
124,AI Research Landscape (Bibliometrics),180,8,International AI Policy Principles (OECD/Multi-country),0.4597,0,3,"countries, development, international"
183,UAV & Drone Governance,19,1,AI Governance Frameworks (ASEAN/Singapore/NIST),0.4195,0,3,"decision, function, training"
15,Predictive Policing & Criminal Justice AI,124,1,AI Governance Frameworks (ASEAN/Singapore/NIST),0.4919,0,2,"decision, risk"
