scopus_id,topic_id_finetuned,topic_label_finetuned,governance_score,region,period,cover_date,country
2-s2.0-85150718030,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-12-01,Russia
2-s2.0-85133939269,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-12-01,Spain
2-s2.0-85129496364,8,"AI, Journalism & Media",0.7,Europe,pre_chatgpt,2021-12-01,Spain
2-s2.0-85122629966,2,AI Cybersecurity & IoT Threats,0.9,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85122062775,135,EU AI Regulation & Regulatory Frameworks,1.0,Europe,pre_chatgpt,2021-12-01,Norway
2-s2.0-85122039774,21,Trust & Trustworthiness in AI,0.8,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121734898,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121686847,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121679470,135,EU AI Regulation & Regulatory Frameworks,1.0,Asia-Pacific,pre_chatgpt,2021-12-01,Australia
2-s2.0-85121627453,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-12-01,Malaysia
2-s2.0-85119867126,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85119011871,114,Generative AI & Creative Ethics,0.65,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85118601395,2,AI Cybersecurity & IoT Threats,0.9,Asia-Pacific,pre_chatgpt,2021-12-01,Indonesia
2-s2.0-85117818232,151,AI Governance during COVID-19,0.6,Europe,pre_chatgpt,2021-12-01,Croatia
2-s2.0-85117786086,15,Predictive Policing & Criminal Justice AI,0.8,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85117731246,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-12-01,Austria
2-s2.0-85117300922,2,AI Cybersecurity & IoT Threats,0.9,Asia-Pacific,pre_chatgpt,2021-12-01,India
2-s2.0-85115387575,183,UAV & Drone Governance,0.6,North America,pre_chatgpt,2021-12-01,Canada
2-s2.0-85112422759,24,"AI, Fake News & Disinformation",0.8,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85112007685,129,AI in Public Administration & Governance,0.9,Europe,pre_chatgpt,2021-12-01,Netherlands
2-s2.0-85111918406,21,Trust & Trustworthiness in AI,0.8,Asia-Pacific,pre_chatgpt,2021-12-01,Singapore
2-s2.0-85111918286,31,Algorithmic Fairness & Bias,1.0,Europe,pre_chatgpt,2021-12-01,Italy
2-s2.0-85111713512,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-12-01,Germany
2-s2.0-85107998736,2,AI Cybersecurity & IoT Threats,0.9,Africa & Middle East,pre_chatgpt,2021-12-01,Saudi Arabia
2-s2.0-85107197314,2,AI Cybersecurity & IoT Threats,0.9,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85105012776,15,Predictive Policing & Criminal Justice AI,0.8,Asia-Pacific,pre_chatgpt,2021-12-01,India
2-s2.0-85102363572,151,AI Governance during COVID-19,0.6,Asia-Pacific,pre_chatgpt,2021-12-01,India
2-s2.0-85090963043,114,Generative AI & Creative Ethics,0.65,Latin America,pre_chatgpt,2021-12-01,Brazil
2-s2.0-105018881993,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-12-01,Sweden
2-s2.0-85165792861,31,Algorithmic Fairness & Bias,1.0,North America,pre_chatgpt,2021-11-01,United States
2-s2.0-85147571862,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-11-01,Germany
2-s2.0-85124066092,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-11-01,Italy
2-s2.0-85119987013,151,AI Governance during COVID-19,0.6,North America,pre_chatgpt,2021-11-01,United States
2-s2.0-85119201815,151,AI Governance during COVID-19,0.6,Asia-Pacific,pre_chatgpt,2021-11-01,China
2-s2.0-85117363453,114,Generative AI & Creative Ethics,0.65,Asia-Pacific,pre_chatgpt,2021-11-01,Australia
2-s2.0-85116025911,17,AI Ethics from Islamic/Religious Perspective,0.5,North America,pre_chatgpt,2021-11-01,United States
2-s2.0-85113784959,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-11-01,Malaysia
2-s2.0-85112014686,2,AI Cybersecurity & IoT Threats,0.9,Asia-Pacific,pre_chatgpt,2021-11-01,Indonesia
2-s2.0-85111671027,124,AI Research Landscape (Bibliometrics),0.5,Asia-Pacific,pre_chatgpt,2021-11-01,China
2-s2.0-85111307522,2,AI Cybersecurity & IoT Threats,0.9,Africa & Middle East,pre_chatgpt,2021-11-01,Saudi Arabia
2-s2.0-85108961552,35,Gender Bias & AI Representation,0.9,Europe,pre_chatgpt,2021-11-01,Italy
2-s2.0-85123173092,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-10-28,United States
2-s2.0-85138843541,2,AI Cybersecurity & IoT Threats,0.9,Africa & Middle East,pre_chatgpt,2021-10-25,Iraq
2-s2.0-85143763118,2,AI Cybersecurity & IoT Threats,0.9,North America,pre_chatgpt,2021-10-22,United States
2-s2.0-85120330574,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-10-15,India
2-s2.0-85122487511,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-10-12,Ukraine
