primary_country,period,paper_count,avg_citations
China,post_chatgpt,5590,13.31
United States,post_chatgpt,4310,18.09
India,post_chatgpt,2457,13.83
United States,pre_chatgpt,1817,91.05
United Kingdom,post_chatgpt,1503,24.78
Saudi Arabia,post_chatgpt,1020,15.38
Germany,post_chatgpt,959,17.33
Italy,post_chatgpt,957,16.65
South Korea,post_chatgpt,937,14.25
Australia,post_chatgpt,890,27.77
Spain,post_chatgpt,832,13.51
Turkey,post_chatgpt,791,10.83
Canada,post_chatgpt,777,16.69
China,pre_chatgpt,740,65.64
India,pre_chatgpt,680,24.87
Malaysia,post_chatgpt,673,12.33
Iran,post_chatgpt,644,13.54
United Kingdom,pre_chatgpt,554,99.75
Brazil,post_chatgpt,495,8.92
Indonesia,post_chatgpt,481,6.57
Japan,post_chatgpt,417,10.69
Hong Kong,post_chatgpt,376,33.22
Netherlands,post_chatgpt,368,20.85
South Africa,post_chatgpt,348,15.13
Taiwan,post_chatgpt,346,21.29
France,post_chatgpt,331,17.64
Germany,pre_chatgpt,329,81.74
Poland,post_chatgpt,316,11.89
South Korea,pre_chatgpt,307,52.21
Morocco,post_chatgpt,292,12.5
Thailand,post_chatgpt,289,6.7
Canada,pre_chatgpt,276,81.67
Jordan,post_chatgpt,271,9.8
Pakistan,post_chatgpt,271,11.11
Australia,pre_chatgpt,250,96.79
Sweden,post_chatgpt,248,22.77
United Arab Emirates,post_chatgpt,246,24.35
Italy,pre_chatgpt,238,59.93
Switzerland,post_chatgpt,231,22.07
Spain,pre_chatgpt,229,48.55
Russian Federation,post_chatgpt,226,5.75
Portugal,post_chatgpt,220,10.05
Egypt,post_chatgpt,212,12.79
Ukraine,post_chatgpt,212,4.95
Singapore,post_chatgpt,199,20.93
Viet Nam,post_chatgpt,195,11.94
Bangladesh,post_chatgpt,186,14.97
Romania,post_chatgpt,185,14.92
Greece,post_chatgpt,181,16.79
Iraq,post_chatgpt,173,5.62
Belgium,post_chatgpt,173,16.9
Japan,pre_chatgpt,172,44.59
Denmark,post_chatgpt,165,23.36
Finland,post_chatgpt,162,44.93
Norway,post_chatgpt,149,29.67
Colombia,post_chatgpt,143,8.92
Hungary,post_chatgpt,143,6.36
Mexico,post_chatgpt,136,11.87
Peru,post_chatgpt,130,7.23
Brazil,pre_chatgpt,126,47.67
Nigeria,post_chatgpt,123,11.41
Israel,post_chatgpt,120,13.58
Netherlands,pre_chatgpt,119,90.04
France,pre_chatgpt,117,78.89
Czech Republic,post_chatgpt,113,7.44
Malaysia,pre_chatgpt,110,42.12
Iran,pre_chatgpt,107,50.59
Ireland,post_chatgpt,107,15.93
Taiwan,pre_chatgpt,105,59.93
Austria,post_chatgpt,101,13.26
Switzerland,pre_chatgpt,98,70.0
Sweden,pre_chatgpt,87,108.02
Russian Federation,pre_chatgpt,87,22.84
Saudi Arabia,pre_chatgpt,84,45.8
Kazakhstan,post_chatgpt,84,8.73
Turkey,pre_chatgpt,81,55.67
