chunk_id,doc_id,country,region,year,period,stance,stance_confidence,score_risk,score_opportunity,score_balanced
USA_National_AI_RD_Strategic_Plan_2023_chunk_0,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,balanced,0.4348,0.2002,0.4348,0.3651
USA_National_AI_RD_Strategic_Plan_2023_chunk_1,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,opportunity_focused,0.5181,0.2052,0.5181,0.2766
USA_National_AI_RD_Strategic_Plan_2023_chunk_2,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,balanced,0.5654,0.1599,0.2747,0.5654
USA_National_AI_RD_Strategic_Plan_2023_chunk_3,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,risk_focused,0.707,0.707,0.2851,0.0079
USA_National_AI_RD_Strategic_Plan_2023_chunk_4,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,risk_focused,0.6094,0.6094,0.2935,0.0971
USA_National_AI_RD_Strategic_Plan_2023_chunk_5,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,opportunity_focused,0.6775,0.1561,0.6775,0.1664
USA_National_AI_RD_Strategic_Plan_2023_chunk_6,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,opportunity_focused,0.8539,0.0992,0.8539,0.0469
USA_National_AI_RD_Strategic_Plan_2023_chunk_7,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,opportunity_focused,0.5449,0.3336,0.5449,0.1215
USA_National_AI_RD_Strategic_Plan_2023_chunk_8,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,balanced,0.4415,0.2082,0.4415,0.3504
USA_National_AI_RD_Strategic_Plan_2023_chunk_9,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,risk_focused,0.4501,0.4501,0.1564,0.3934
USA_National_AI_RD_Strategic_Plan_2023_chunk_10,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,balanced,0.4309,0.4309,0.2429,0.3262
USA_National_AI_RD_Strategic_Plan_2023_chunk_11,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,opportunity_focused,0.5827,0.1337,0.5827,0.2836
USA_National_AI_RD_Strategic_Plan_2023_chunk_12,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,opportunity_focused,0.6277,0.1654,0.6277,0.2069
USA_National_AI_RD_Strategic_Plan_2023_chunk_13,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,2023,post_chatgpt,opportunity_focused,0.8864,0.0335,0.8864,0.0801
