scopus_id,topic_id_finetuned,topic_label_finetuned,governance_score,region,period,cover_date,country
2-s2.0-85142004104,-1,,,Africa & Middle East,pre_chatgpt,2021-12-30,UAE
2-s2.0-85126068107,-1,,,Asia-Pacific,pre_chatgpt,2021-12-28,Malaysia
2-s2.0-85121691056,1,Drug Discovery & Molecular AI,0.0,North America,pre_chatgpt,2021-12-27,United States
2-s2.0-85120885808,1,Drug Discovery & Molecular AI,0.0,Asia-Pacific,pre_chatgpt,2021-12-27,South Korea
2-s2.0-85119911090,-1,,,Europe,pre_chatgpt,2021-12-27,Russia
2-s2.0-85122476934,100,"Topic0_Sub_100: student, education, teacher, educational, teaching, learning",0.1,Asia-Pacific,pre_chatgpt,2021-12-23,China
2-s2.0-85164432806,108,"Topic0_Sub_108: medical, healthcare, health, care, patient, medicine, clinic",0.1,Europe,pre_chatgpt,2021-12-20,Germany
2-s2.0-85119291385,144,"Topic0_Sub_144: adsorption, inf, hydrogen, inf inf, sup, removal, sup sup, g",0.1,Africa & Middle East,pre_chatgpt,2021-12-20,Iran
2-s2.0-85119036691,144,"Topic0_Sub_144: adsorption, inf, hydrogen, inf inf, sup, removal, sup sup, g",0.1,Europe,pre_chatgpt,2021-12-20,Finland
2-s2.0-85118844595,118,"Topic0_Sub_118: concrete, strength, compressive, compressive strength, cemen",0.1,North America,pre_chatgpt,2021-12-20,United States
2-s2.0-85119596994,108,"Topic0_Sub_108: medical, healthcare, health, care, patient, medicine, clinic",0.1,Europe,pre_chatgpt,2021-12-15,United Kingdom
2-s2.0-85118968370,117,"Topic0_Sub_117: inf, air, inf inf, pollution, air quality, air pollution, co",0.1,Asia-Pacific,pre_chatgpt,2021-12-15,China
2-s2.0-85143279813,-1,,,North America,pre_chatgpt,2021-12-14,United States
2-s2.0-85121810853,112,"Topic0_Sub_112: energy, power, solar, building, consumption, electricity, gr",0.1,Asia-Pacific,pre_chatgpt,2021-12-13,China
2-s2.0-85117175608,119,"Topic0_Sub_119: depression, anxiety, disorder, treatment, symptom, mental, h",0.1,North America,pre_chatgpt,2021-12-12,Canada
2-s2.0-85121306075,1,Drug Discovery & Molecular AI,0.0,North America,pre_chatgpt,2021-12-10,United States
2-s2.0-85120959053,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,North America,pre_chatgpt,2021-12-10,United States
2-s2.0-85120747146,-1,,,Europe,pre_chatgpt,2021-12-10,Netherlands
2-s2.0-85120690421,25,AI in Cell Biology & Microscopy,0.0,North America,pre_chatgpt,2021-12-10,United States
2-s2.0-85118360611,-1,,,Asia-Pacific,pre_chatgpt,2021-12-10,China
2-s2.0-85118325025,118,"Topic0_Sub_118: concrete, strength, compressive, compressive strength, cemen",0.1,Asia-Pacific,pre_chatgpt,2021-12-10,Australia
2-s2.0-85121653445,6,AI in Sports & Performance,0.0,Asia-Pacific,pre_chatgpt,2021-12-08,Australia
2-s2.0-85120867317,1,Drug Discovery & Molecular AI,0.0,Europe,pre_chatgpt,2021-12-07,Netherlands
2-s2.0-85086255190,119,"Topic0_Sub_119: depression, anxiety, disorder, treatment, symptom, mental, h",0.1,Latin America,pre_chatgpt,2021-12-04,Brazil
2-s2.0-85208989033,104,"Topic0_Sub_104: stock, market, financial, return, credit, price, fraud, port",0.1,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85189354873,102,"Topic0_Sub_102: crop, food, yield, agricultural, plant, agriculture, machine",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,South Korea
2-s2.0-85173699324,4,Sentiment & Emotion Analysis,0.3,Africa & Middle East,pre_chatgpt,2021-12-01,Iraq
2-s2.0-85150718030,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-12-01,Russia
2-s2.0-85149400642,128,"Topic0_Sub_128: supply chain, chain, supply, demand, inventory, forecasting,",0.1,Africa & Middle East,pre_chatgpt,2021-12-01,Ethiopia
2-s2.0-85149204724,138,"Topic0_Sub_138: battery, lithium, vehicle, ion, electric vehicle, electric, ",0.1,Europe,pre_chatgpt,2021-12-01,Germany
2-s2.0-85140304312,-1,,,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85138077383,105,"Topic0_Sub_105: employee, chain, supply chain, supply, job, organizational, ",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85135464346,-1,,,Africa & Middle East,pre_chatgpt,2021-12-01,Ghana
2-s2.0-85135280679,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85135277818,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85133939269,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-12-01,Spain
2-s2.0-85132983034,106,"Topic0_Sub_106: green, environmental, energy, esg, sustainable, sustainabili",0.1,Europe,pre_chatgpt,2021-12-01,Sweden
2-s2.0-85130216002,-1,,,Europe,pre_chatgpt,2021-12-01,France
2-s2.0-85129496364,8,"AI, Journalism & Media",0.7,Europe,pre_chatgpt,2021-12-01,Spain
2-s2.0-85127478092,-1,,,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85127158096,122,"Topic0_Sub_122: customer, churn, marketing, consumer, product, commerce, pur",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85126723644,108,"Topic0_Sub_108: medical, healthcare, health, care, patient, medicine, clinic",0.1,North America,pre_chatgpt,2021-12-01,Canada
2-s2.0-85126669332,108,"Topic0_Sub_108: medical, healthcare, health, care, patient, medicine, clinic",0.1,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85125847436,11,AI in Real Estate Valuation,0.2,Asia-Pacific,pre_chatgpt,2021-12-01,South Korea
2-s2.0-85124267577,102,"Topic0_Sub_102: crop, food, yield, agricultural, plant, agriculture, machine",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,India
2-s2.0-85124156497,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85122810516,134,"Topic0_Sub_134: wildfire, forest, area, rcp, risk, detection, occurrence, fa",0.1,North America,pre_chatgpt,2021-12-01,United States
