sub_topic_id,original_t0_id,topic_size,top_words
100,0,3686,"student, education, teacher, educational, teaching, learning, academic, artificial intelligence, intelligence, artificial"
101,1,1193,"patient, disease, covid, clinical, risk, mortality, heart, diabetes, hospital, machine"
102,2,998,"crop, food, yield, agricultural, plant, agriculture, machine, farmer, production, rice"
103,3,986,"legal, human, intelligence, law, artificial, artificial intelligence, ethical, right, moral, criminal"
104,4,942,"stock, market, financial, return, credit, price, fraud, portfolio, machine, machine learning"
105,5,909,"employee, chain, supply chain, supply, job, organizational, innovation, intelligence, artificial intelligence, organization"
106,6,823,"green, environmental, energy, esg, sustainable, sustainability, innovation, development, effect, carbon"
107,7,783,"water, flood, water quality, groundwater, sup, river, quality, rainfall, sup sup, area"
108,8,781,"medical, healthcare, health, care, patient, medicine, clinical, medical education, artificial intelligence, physician"
109,9,693,"soil, sup, forest, land, inf, sup sup, vegetation, accuracy, area, index"
110,10,591,"marketing, consumer, customer, financial, service, banking, accounting, brand, audit, intelligence"
111,11,520,"traffic, crash, road, vehicle, accident, travel, transportation, driver, safety, driving"
112,12,417,"energy, power, solar, building, consumption, electricity, grid, energy consumption, renewable, fault"
113,13,368,"cancer, breast, breast cancer, tumor, patient, gene, survival, cell, prognostic, clinical"
114,14,302,"art, creative, design, creativity, image, human, artistic, visual, generative, aesthetic"
115,15,288,"software, machine learning, learning, machine, feature, algorithm, technique, code, selection, explanation"
116,16,266,"dementia, cognitive, alzheimer, mci, alzheimer disease, disease, impairment, cognitive impairment, brain, mild"
117,17,260,"inf, air, inf inf, pollution, air quality, air pollution, concentration, pollutant, sup, quality"
118,18,253,"concrete, strength, compressive, compressive strength, cement, sup, aggregate, mix, material, reinforced"
119,19,242,"depression, anxiety, disorder, treatment, symptom, mental, health, mental health, depressive, patient"
120,20,213,"maintenance, fault, manufacturing, production, industrial, process, machine, predictive maintenance, industry, machine learning"
121,21,210,"process, machining, manufacturing, parameter, laser, printing, welding, material, surface, alloy"
122,22,202,"customer, churn, marketing, consumer, product, commerce, purchase, online, customer churn, business"
123,23,193,"birth, maternal, woman, pregnancy, child, infant, health, risk, gestational, neonatal"
124,24,180,"topic, citation, publication, bibliometric, paper, collaboration, field, author, scientific, science"
125,25,157,"project, construction, construction project, cost, building, contract, construction industry, delay, risk, overrun"
126,26,152,"landslide, susceptibility, landslide susceptibility, hazard, area, map, slope, factor, auc, debris"
127,27,136,"urban, lst, heat, uhi, temperature, urban heat, land, thermal, heat island, island"
128,28,133,"supply chain, chain, supply, demand, inventory, forecasting, supplier, demand forecasting, product, sale"
129,29,122,"public, administration, public administration, government, public sector, sector, citizen, service, public service, governance"
130,30,116,"fracture, osteoporosis, patient, bone, knee, implant, image, osteoarthritis, joint, ray"
131,31,115,"urban, street, city, space, vitality, land, spatial, neighborhood, environment, built"
132,32,109,"nursing, nursing student, nurse, nursing education, student, education, artificial intelligence, intelligence, attitude, artificial"
133,33,106,"emission, carbon, carbon emission, inf, inf emission, inf inf, energy, consumption, reduction, carbon price"
134,34,103,"wildfire, forest, area, rcp, risk, detection, occurrence, factor, burn, random"
135,35,100,"regulation, act, european, regulatory, union, european union, protection, right, risk, commission"
136,36,93,"suicide, suicidal, ideation, suicidal ideation, suicide attempt, attempt, suicide risk, adolescent, risk, depression"
137,37,84,"seismic, earthquake, slope, damage, motion, building, slope stability, liquefaction, event, ground motion"
138,38,80,"battery, lithium, vehicle, ion, electric vehicle, electric, cell, voltage, energy, fuel cell"
139,39,78,"flight, airport, aircraft, airline, delay, air traffic, passenger, air, aviation, traffic"
140,40,75,"ship, port, vessel, maritime, container, fuel, fuel consumption, shipping, terminal, consumption"
141,41,74,"gene, cell, immune, expression, infiltration, degs, enrichment, pathway, hub, protein"
142,42,73,"problem, optimization, algorithm, optimization problem, solution, instance, heuristic, solver, stochastic, convergence"
143,43,72,"pavement, asphalt, road, maintenance, mix, pavement performance, condition, crack, pavement condition, mixture"
144,44,69,"adsorption, inf, hydrogen, inf inf, sup, removal, sup sup, gas, storage, removal efficiency"
145,45,68,"safety, accident, incident, occupational, construction, injury, risk, worker, fatality, fall"
146,46,67,"employee, turnover, job, attrition, human resource, organization, satisfaction, organizational, job satisfaction, retention"
147,47,64,"parkinson, parkinson disease, disease, voice, motor, feature, tremor, diagnosis, speech, patient"
148,48,63,"city, smart city, smart, urban, governance, sustainable, development, urban planning, planning, technology"
149,49,61,"fatigue, movement, muscle, hand, rehabilitation, motion, emg, exercise, wearable, lifting"
150,50,58,"waste, waste management, solid waste, solid, management, waste generation, municipal, municipal solid, collection, recycling"
151,51,57,"covid, pandemic, covid pandemic, crisis, health, public, public health, artificial intelligence, intelligence, coronavirus"
152,52,53,"insurance, claim, fraud, health insurance, premium, insurance company, insurer, life insurance, fraud detection, pricing"
153,53,52,"disaster, evacuation, emergency, hurricane, disaster management, natural disaster, hazard, natural, management, disaster risk"
154,54,51,"mental, mental health, health, psychotherapy, therapy, intervention, treatment, psychotherapist, therapeutic, psychological"
155,55,50,"fuel, engine, inf, blend, diesel, combustion, inf inf, emission, cylinder, nox"
156,56,47,"gait, walking, joint, feature, muscle, sarcopenia, speed, fall, gdi, knee"
157,57,45,"manufacturing, digital twin, twin, industry, digital, robot, industrial, smart, technology, physical"
158,58,42,"pipe, leak, pipeline, leakage, water, sewer, failure, network, detection, hydraulic"
159,59,40,"mineral, rock, lithological, exploration, basalt, geological, hyperspectral, mapping, geochemical, deposit"
160,60,39,"thermal, comfort, thermal comfort, temperature, skin temperature, thermal sensation, skin, sensation, occupant, indoor"
161,61,37,"wind, wind speed, speed, wind energy, wind power, forecasting, energy, turbine, power, wind turbine"
162,62,35,"pregnancy, infertility, reproductive, clinical, couple, vitro, fertilization, treatment, auc, cycle"
163,63,35,"charging, electric, vehicle, electric vehicle, ev, charging station, infrastructure, energy, transportation, adoption"
164,64,35,"inflation, cpi, forecast, forecasting, inflation rate, economic, horizon, price, rate, term"
165,65,34,"pain, patient, chronic, exercise, lbp, intensity, neuropathic, feature, eeg, classification"
166,66,33,"tunnel, settlement, tunneling, shield, tbm, excavation, parameter, construction, uplift, inf"
167,67,32,"drought, spi, precipitation, index, drought index, standardized precipitation, month, standardized, evapotranspiration, meteorological"
168,68,31,"digital transformation, transformation, digital, business, company, innovation, digital technology, corporate digital, technology, manufacturing"
169,69,31,"logistics, chain, supply chain, management, supply, reverse logistics, efficiency, regional, reverse, operational"
170,70,29,"har, activity, activity recognition, recognition, human activity, sensor, user, phone, gesture, smartphone"
171,71,29,"schizophrenia, patient, cognitive, functional, bagging ensemble, treatment, feature, psychosis, functional outcome, cognitive function"
172,72,29,"weather, forecast, nwp, climate, weather prediction, weather forecast, convective, tc, dynamical, global"
173,73,27,"opioid, overdose, prescription, drug, opioids, medicaid, misuse, beneficiary, pennsylvania, treatment"
174,74,26,"obesity, bmi, adolescent, obese, fitness, body, health, mass, vat, metabolic"
175,75,25,"vaccine, vaccination, covid, covid vaccine, covid vaccination, dose, vaccinated, virus, adjuvant, pandemic"
176,76,24,"gene, ibd, expression, inflammatory bowel, inflammatory, bowel, bowel disease, disease, gse, patient"
177,77,24,"xai, explanation, user, explainable, explainable artificial, intelligence xai, trust, decision, explainability, human"
178,78,23,"cigarette, smoking, tobacco, cessation, cannabis, quit, relapse, nicotine, colour, predictor"
179,79,21,"bike, bike sharing, sharing, bicycle, shared, urban, sharing usage, trip, cycling, travel"
180,80,19,"plastic, recycling, waste, plastic waste, polymer, recycled, spectroscopic, spectroscopy, sorting, infrared"
181,81,19,"patent, invention, inventor, inventive, patent law, patentability, protection, european patent, law, european"
182,82,19,"wind, cfd, building, dynamic cfd, computational, simulation, computational fluid, fluid dynamic, fluid, cfd simulation"
183,83,19,"uavs, uav, attack, aerial vehicle, unmanned aerial, drone, unmanned, aerial, flight, vehicle"
184,84,17,"bridge, depth, inf, pier, deck, parameter, inf inf, condition, sup, formula"
185,85,17,"gene, lung, cancer, lung cancer, nsclc, egfr, cell, prognosis, survival, prognostic"
186,86,17,"corrosion, pipeline, inspection, loop, lattice, steel, defect, pca, cd, inhibitor"
187,87,16,"loneliness, adolescent, social, ate, older, predictor, older adult, comorbidity, factor, nssi"
