scopus_id,topic_id,topic_words,region,period,country,coverDate
2-s2.0-85142004104,-1,,Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85126068107,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121691056,1,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85120885808,1,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119911090,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85122476934,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85164432806,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85119291385,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85119036691,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85118844595,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85119596994,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85118968370,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85143279813,-1,,North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121810853,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85117175608,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121306075,1,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85120959053,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85120747146,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120690421,25,"cell, microscopy, image, tissue, imaging, cellular, raman, phenotype, morphology, single",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85118360611,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85118325025,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121653445,6,"sport, player, game, football, team, performance, training, match, physical, injury",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120867317,1,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85086255190,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Latin America,pre_chatgpt,Unknown,Unknown
2-s2.0-85208989033,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85189354873,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85173699324,4,"sentiment, emotion, facial, review, tweet, opinion, text, machine, expression, learning",Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85150718030,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85149400642,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85149204724,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85140304312,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85138077383,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85135464346,-1,,Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85135280679,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85135277818,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85133939269,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85132983034,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85130216002,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85129496364,8,"journalism, news, journalist, medium, journalistic, content, artificial intelligence, artificial, intelligence, news medium",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85127478092,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85127158096,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85126723644,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85126669332,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85125847436,11,"price, housing, estate, real estate, valuation, real, property, market, house, appraisal",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85124267577,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85124156497,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85122810516,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
