period,topic_id,count,total,proportion,topic_words
post_chatgpt,0,18057,32979,0.5475,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
post_chatgpt,1,591,32979,0.0179,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding"
post_chatgpt,2,338,32979,0.0102,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
post_chatgpt,3,265,32979,0.008,"tourism, tourist, hospitality, hotel, service, industry, destination, tourism industry, customer, experience"
post_chatgpt,4,172,32979,0.0052,"sentiment, emotion, facial, review, tweet, opinion, text, machine, expression, learning"
post_chatgpt,5,167,32979,0.0051,"speech, hearing, language, voice, recognition, sound, child, acoustic, feature, sign language"
post_chatgpt,6,168,32979,0.0051,"sport, player, game, football, team, performance, training, match, physical, injury"
post_chatgpt,7,132,32979,0.004,"adhd, autism, disorder, child, diagnosis, spectrum, symptom, diagnostic, feature, individual"
post_chatgpt,8,145,32979,0.0044,"journalism, news, journalist, medium, journalistic, content, artificial intelligence, artificial, intelligence, news medium"
post_chatgpt,9,137,32979,0.0042,"library, academic library, service, academic, information, technology, li, university, artificial intelligence, intelligence"
post_chatgpt,10,114,32979,0.0035,"retinal, eye, image, disease, patient, visual, screening, diagnosis, accuracy, clinical"
post_chatgpt,11,104,32979,0.0032,"price, housing, estate, real estate, valuation, real, property, market, house, appraisal"
post_chatgpt,12,89,32979,0.0027,"image, video, recognition, object, face, network, deep, feature, learning, neural"
post_chatgpt,13,107,32979,0.0032,"heritage, cultural, cultural heritage, archaeological, ancient, site, archaeology, bone, preservation, image"
post_chatgpt,14,94,32979,0.0029,"music, musical, audio, education, teaching, creative, artificial, intelligence, learning, feature"
post_chatgpt,15,88,32979,0.0027,"crime, violence, police, offender, sexual, abuse, criminal, predictive, prediction, risk"
post_chatgpt,16,78,32979,0.0024,"text, language, document, word, corpus, classification, semantic, processing, arabic, news"
post_chatgpt,17,92,32979,0.0028,"religious, islamic, religion, spiritual, intelligence, human, artificial intelligence, artificial, ethical, technology"
post_chatgpt,18,98,32979,0.003,"entrepreneurial, entrepreneurship, entrepreneur, intention, business, ecosystem, digital, innovation, social, student"
post_chatgpt,19,99,32979,0.003,"price, market, return, investor, volatility, asset, trading, lstm, forecasting, investment"
post_chatgpt,20,70,32979,0.0021,"eeg, seizure, signal, eeg signal, brain, feature, epilepsy, classification, accuracy, electroencephalography"
post_chatgpt,21,86,32979,0.0026,"trust, trustworthiness, human, user, fear, trustworthy, perceived, intelligence, technology, artificial intelligence"
post_chatgpt,22,72,32979,0.0022,"poverty, household, conflict, income, migration, estimate, machine learning, machine, wealth, satellite"
post_chatgpt,23,54,32979,0.0016,"sequence, bacterial, antibiotic, ca, dna, genome, resistance, gene, protein, bacteria"
post_chatgpt,24,65,32979,0.002,"fake, news, fake news, social, social medium, twitter, medium, bot, tweet, user"
post_chatgpt,25,51,32979,0.0015,"cell, microscopy, image, tissue, imaging, cellular, raman, phenotype, morphology, single"
post_chatgpt,26,59,32979,0.0018,"quantum, quantum computing, classical, computing, machine, learning, machine learning, entanglement, computer, algorithm"
post_chatgpt,27,72,32979,0.0022,"ghz, band, channel, design, frequency, gain, bandwidth, wireless, communication, simulation"
post_chatgpt,28,68,32979,0.0021,"sex, age, dental, forensic, skeletal, estimation, image, age estimation, teeth, accuracy"
post_chatgpt,29,58,32979,0.0018,"sleep, sleep quality, anxiety, wake, patient, symptom, disorder, stage, disturbance, quality"
post_chatgpt,30,64,32979,0.0019,"translation, translator, language, machine translation, arabic, translate, text, english, google translate, literary"
post_chatgpt,31,59,32979,0.0018,"fairness, bias, fair, algorithmic, discrimination, decision, metric, algorithm, unfair, perception"
post_chatgpt,32,58,32979,0.0018,"blockchain, blockchain technology, technology, chain, accounting, supply chain, decentralized, secure, supply, artificial intelligence"
post_chatgpt,33,61,32979,0.0018,"customer, chatbots, assistant, user, chatbot, voice, consumer, satisfaction, service, intention"
post_chatgpt,34,52,32979,0.0016,"military, weapon, war, autonomous, international, warfare, autonomous weapon, state, intelligence, security"
post_chatgpt,35,56,32979,0.0017,"gender, bias, stereotype, woman, gender bias, female, gendered, male, representation, artificial"
post_chatgpt,36,51,32979,0.0015,"personality, trait, personality trait, psychological, social, machine learning, machine, agreeableness, conscientiousness, social medium"
post_chatgpt,37,49,32979,0.0015,"causal, effect, treatment effect, treatment, estimator, inference, estimate, causal inference, estimation, machine learning"
post_chatgpt,38,47,32979,0.0014,"malaria, disease, outbreak, vector, parasite, public health, machine, specie, control, health"
post_chatgpt,39,55,32979,0.0017,"drug, solvent, inf, sup, formulation, pharmaceutical, regression, temperature, inf inf, sup sup"
post_chatgpt,40,49,32979,0.0015,"dental, dentistry, student, education, clinical, diagnostic, oral, intelligence, artificial intelligence, group"
post_chatgpt,41,39,32979,0.0012,"patent, technology, convergence, technological, trademark, promising technology, promising, search, firm, citation"
post_chatgpt,42,46,32979,0.0014,"disability, disabled, people, student disability, education, special, student, inclusive, accessibility, teacher"
post_chatgpt,43,36,32979,0.0011,"network, sensor, edge, iot, node, wireless, wireless sensor, computing, device, latency"
post_chatgpt,44,38,32979,0.0012,"optical, design, sensor, sup, modulation, device, fiber, graphene, refractive, refractive index"
post_chatgpt,45,31,32979,0.0009,"tumor, brain, mri, image, imaging, segmentation, feature, resonance, magnetic resonance, classification"
pre_chatgpt,0,3843,8088,0.4751,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
pre_chatgpt,1,305,8088,0.0377,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding"
pre_chatgpt,2,91,8088,0.0113,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
pre_chatgpt,3,43,8088,0.0053,"tourism, tourist, hospitality, hotel, service, industry, destination, tourism industry, customer, experience"
pre_chatgpt,4,81,8088,0.01,"sentiment, emotion, facial, review, tweet, opinion, text, machine, expression, learning"
pre_chatgpt,5,71,8088,0.0088,"speech, hearing, language, voice, recognition, sound, child, acoustic, feature, sign language"
pre_chatgpt,6,38,8088,0.0047,"sport, player, game, football, team, performance, training, match, physical, injury"
pre_chatgpt,7,40,8088,0.0049,"adhd, autism, disorder, child, diagnosis, spectrum, symptom, diagnostic, feature, individual"
pre_chatgpt,8,18,8088,0.0022,"journalism, news, journalist, medium, journalistic, content, artificial intelligence, artificial, intelligence, news medium"
pre_chatgpt,9,17,8088,0.0021,"library, academic library, service, academic, information, technology, li, university, artificial intelligence, intelligence"
pre_chatgpt,10,33,8088,0.0041,"retinal, eye, image, disease, patient, visual, screening, diagnosis, accuracy, clinical"
pre_chatgpt,11,37,8088,0.0046,"price, housing, estate, real estate, valuation, real, property, market, house, appraisal"
pre_chatgpt,12,45,8088,0.0056,"image, video, recognition, object, face, network, deep, feature, learning, neural"
pre_chatgpt,13,22,8088,0.0027,"heritage, cultural, cultural heritage, archaeological, ancient, site, archaeology, bone, preservation, image"
pre_chatgpt,14,30,8088,0.0037,"music, musical, audio, education, teaching, creative, artificial, intelligence, learning, feature"
