region,country,issuer,doc_name,doc_type,year,filename,status,notes,url
North America,United States,National Science and Technology Council,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,USA_National_AI_RD_Strategic_Plan_2023.pdf,already_exists,"8th update to US federal AI R&D strategy; reaffirms 8 strategies, adds international collaboration pillar",https://www.nitrd.gov/pubs/National-Artificial-Intelligence-Research-and-Development-Strategic-Plan-2023-Update.pdf
North America,United States,NIST,AI Risk Management Framework 1.0,Framework,2023,USA_NIST_AI_RMF_1_0_2023.pdf,already_exists,Voluntary risk framework; widely referenced internationally,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf
North America,United States,Office of Management and Budget,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,USA_OMB_M2521_Federal_AI_Governance_2025.pdf,already_exists,"Most current US federal AI governance directive April 2025; innovation, governance, public trust",https://www.whitehouse.gov/wp-content/uploads/2025/04/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf
North America,Canada,Government of Canada,Directive on Automated Decision-Making,Regulation,2023,Canada_Directive_Automated_Decision_Making_2023.pdf,already_exists,Mandatory for federal agencies; requires algorithmic impact assessment,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32592
Europe,European Union,European Parliament and Council,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,EU_AI_Act_Regulation_2024_1689.pdf,already_exists,First comprehensive binding AI regulation globally; entered force August 2024; most provisions apply August 2026,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401689
Europe,United Kingdom,UK Government Office for AI,UK National AI Strategy 2021,National Strategy,2021,UK_National_AI_Strategy_2021.pdf,already_exists,10-year plan for UK AI leadership; baseline document,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1020402/National_AI_Strategy_-_PDF_version.pdf
Europe,United Kingdom,UK Department for Science Innovation and Technology,UK AI Opportunities Action Plan 2025,Action Plan,2025,UK_AI_Opportunities_Action_Plan_2025.pdf,already_exists,50 recommendations; published January 2025; current UK AI policy position,https://assets.publishing.service.gov.uk/media/67851771f0528401055d2329/ai_opportunities_action_plan.pdf
Europe,Germany,German Federal Government,Germany AI Strategy Update 2023,National Strategy,2023,Germany_AI_Strategy_Update_2023.pdf,already_exists,Update to 2018 strategy; emphasises trustworthy AI and European sovereignty,https://www.ki-strategie-deutschland.de/files/downloads/2023_AI_Update_barrierefrei.pdf
Europe,France,French Government,France AI for Humanity Strategy 2021,National Strategy,2021,France_AI_Strategy_2021.pdf,already_exists,"Covers research, talent, industrial uptake, ethics and sovereignty",https://www.gouvernement.fr/upload/media/default/0001/01/2021_10_ia-rapport-bericht-complet.pdf
Asia-Pacific,Singapore,IMDA / PDPC,Model AI Governance Framework Second Edition 2020,Framework,2020,Singapore_Model_AI_Governance_Framework_2020.pdf,already_exists,Voluntary framework for private sector; internationally recognised,https://www.imda.gov.sg/-/media/imda/files/infocomm-media-landscape/sg-digital/tech-pillars/artificial-intelligence/second-edition-of-the-model-ai-governance-framework.pdf
Asia-Pacific,Singapore,AI Verify Foundation,Model AI Governance Framework for Generative AI 2024,Framework,2024,Singapore_Model_AI_Governance_GenAI_2024.pdf,already_exists,Extends 2020 framework to cover generative AI; released May 2024,https://aiverifyfoundation.sg/wp-content/uploads/2024/05/Model-AI-Governance-Framework-for-Generative-AI-May-2024-1-1.pdf
Asia-Pacific,India,NITI Aayog,National Strategy for Artificial Intelligence 2021,National Strategy,2021,India_National_AI_Strategy_2021.pdf,already_exists,"AI for All vision; healthcare, agriculture, education, smart cities focus",https://www.niti.gov.in/sites/default/files/2023-03/National-Strategy-for-Artificial-Intelligence.pdf
Asia-Pacific,Australia,Department of Industry Science and Resources,Australia AI Ethics Framework 2019,Framework,2019,Australia_AI_Ethics_Framework_2019.pdf,already_exists,8 voluntary AI ethics principles for Australian organisations,https://www.industry.gov.au/sites/default/files/2019-11/australias-artificial-intelligence-ethics-framework.pdf
Asia-Pacific,Japan,Cabinet Office Japan,Japan AI Strategy 2022,National Strategy,2022,Japan_AI_Strategy_2022.pdf,already_exists,Human-centred AI; industrial transformation and security focus,https://www8.cao.go.jp/cstp/ai/aistratagy2022en.pdf
Asia-Pacific,China,State Council of China,New Generation AI Development Plan 2017,National Strategy,2017,China_New_Generation_AI_Development_Plan_2017.pdf,already_exists,Foundational Chinese AI strategy translated by CSET Georgetown; sets 2030 vision,https://cset.georgetown.edu/wp-content/uploads/t0112_next_gen_ai_development_plan_EN.pdf
Asia-Pacific,China,Cyberspace Administration of China,China Interim Measures Generative AI Services 2023,Binding Regulation,2023,China_Interim_Measures_Generative_AI_2023.pdf,already_exists,First binding Chinese regulation on generative AI; effective August 2023; translated by US Air Force CASI,https://www.airuniversity.af.edu/Portals/10/CASI/documents/Translations/2023-08-07%20ITOW%20Interim%20Measures%20for%20the%20Management%20of%20Generative%20Artificial%20Intelligence%20Services.pdf
Asia-Pacific,South Korea,National Assembly of Korea,South Korea AI Basic Act Framework Act 2025,National Law,2025,SouthKorea_AI_Basic_Act_2025.pdf,already_exists,Second comprehensive national AI law globally after EU AI Act; consolidates 19 bills; effective January 2026; translated by CSET Georgetown,https://cset.georgetown.edu/wp-content/uploads/t0625_south_korea_ai_law_EN.pdf
Latin America,Brazil,Ministry of Science Technology and Innovation,Brazilian AI Plan PBIA 2024,National Strategy,2024,Brazil_National_AI_Plan_PBIA_2024.pdf,already_exists,AI for the Good of All; R$23bn investment plan 2024-2028; Portuguese,https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/noticias/2024/07/plano-brasileiro-de-ia-tera-supercomputador-e-investimento-de-r-23-bilhoes-em-quatro-anos/ia_para_o_bem_de_todos.pdf/@@download/file
Latin America,Chile,Government of Chile,Chile National AI Policy 2021,National Strategy,2021,Chile_National_AI_Policy_2021.pdf,already_exists,First Latin American country with a national AI strategy,https://minciencia.gob.cl/uploads/filer_public/7d/e3/7de3f3a4-f43d-4568-b7de-a037269e234b/politica_nacional_de_inteligencia_artificial_version_en.pdf
Latin America,Colombia,Departamento Nacional de Planeacion,Colombia National AI Policy CONPES 4144 2025,National Policy,2025,Colombia_National_AI_Policy_CONPES4144_2025.pdf,already_exists,"Approved February 2025; 106 actions to 2030; ethics, data, R&D, talent, risk mitigation — written in Spanish",https://colaboracion.dnp.gov.co/CDT/Conpes/Econ%C3%B3micos/4144.pdf
Latin America,Mexico,Government of Mexico,Mexico Towards an AI National Agenda 2018,Policy Agenda,2018,Mexico_AI_National_Agenda_2018.pdf,already_exists,Consultative policy document; early Latin American AI governance thinking,https://ia2030.mx/docs/IA-report-mexico.pdf
Africa & Middle East,Rwanda,Ministry of ICT and Innovation,National AI Policy Rwanda 2023,National Strategy,2023,Rwanda_National_AI_Policy_2023.pdf,already_exists,Cabinet approved April 2023; first comprehensive AI policy in East Africa,https://www.minict.gov.rw/index.php?eID=dumpFile&t=f&f=67550&token=6195a53203e197efa47592f40ff4aaf24579640e
Africa & Middle East,Kenya,Ministry of ICT,Kenya National AI Strategy Draft 2025,National Strategy,2025,Kenya_National_AI_Strategy_Draft_2025.pdf,already_exists,"Draft for public validation January 2025; covers readiness, governance, ethics",https://ict.go.ke/sites/default/files/2025-01/Kenya%20National%20AI%20Strategy%20(Draft)%20for%20Public%20Validation%20%20%5B14-01-2025%5D.pdf
Africa & Middle East,Egypt,Ministry of Communications and IT,Egypt National AI Strategy 2021,National Strategy,2021,Egypt_National_AI_Strategy_2021.pdf,already_exists,"4 pillars: AI for government, development, capacity, regional cooperation",https://mcit.gov.eg/Upcont/Documents/Publications_672021000_Egypt-National-AI-Strategy-English.pdf
Africa & Middle East,UAE,UAE Government,UAE National AI Strategy 2031,National Strategy,2022,UAE_National_AI_Strategy_2031.pdf,already_exists,"Aims to make UAE a global AI hub; education, economy, government services",https://ai.gov.ae/wp-content/uploads/2022/07/UAE-National-Strategy-for-Artificial-Intelligence-2031.pdf
Africa & Middle East,South Africa,Department of Communications and Digital Technologies,South Africa National AI Policy Framework 2023,Policy Framework,2023,SouthAfrica_National_AI_Policy_Framework_2023.pdf,already_exists,Inclusive AI framework; addresses digital divide and developmental priorities,https://www.dcdt.gov.za/images/phocadownload/2024/DCDT%20AI%20Policy%20Framework%20August%202023.pdf
Africa & Middle East,Zimbabwe,Government of Zimbabwe,Zimbabwe National AI Strategy,National Strategy,2024,Zimbabwe_National_AI_Strategy.pdf,already_exists,"National AI strategy covering economic development, ethics, governance and digital transformation",https://veritaszim.net/sites/veritas_d/files/Zimbabwe%20National%20Artificial%20Intelligence%20Strategy.pdf
Africa & Middle East,Nigeria,NCAIR / NITDA,Nigeria National AI Strategy Draft 2024,National Strategy,2024,Nigeria_National_AI_Strategy_2024.pdf,already_exists,"Draft released August 2024; most populous African nation; 5 strategic pillars covering innovation, ethics, infrastructure",https://ncair.nitda.gov.ng/wp-content/uploads/2024/08/National-AI-Strategy_01082024-copy.pdf
International,UNESCO,UNESCO,UNESCO Recommendation on the Ethics of AI 2021,International Recommendation,2021,UNESCO_Recommendation_Ethics_AI_2021.pdf,already_exists,Adopted by all 193 UNESCO member states; first global normative AI instrument,https://unesdoc.unesco.org/ark:/48223/pf0000381137
International,OECD,OECD,OECD AI Principles 2023,International Principles,2023,OECD_AI_Principles_2023.pdf,already_exists,Adopted by 44 countries; foundation for many national strategies. Full policy database: oecd.ai,https://legalinstruments.oecd.org/api/download/?uri=/instruments/OECD-LEGAL-0449.pdf
International,G7,G7,G7 Hiroshima AI Process Guiding Principles 2023,International Principles,2023,G7_Hiroshima_AI_Process_Guiding_Principles_2023.pdf,already_exists,11 principles for advanced AI developers; G7 Hiroshima Summit October 2023,https://www.meti.go.jp/press/2023/10/20231030002/20231030002-1.pdf
International,Council of Europe,Council of Europe,Framework Convention on AI Human Rights Democracy Rule of Law CETS 225,Binding International Treaty,2024,CouncilOfEurope_AI_Framework_Convention_CETS225_2024.pdf,already_exists,First legally binding international AI treaty; signed by EU US UK 41 countries; entered force November 2025,https://rm.coe.int/1680afae3c
International,African Union,African Union,AU Continental AI Strategy for Africa 2024,Continental Strategy,2024,AfricanUnion_Continental_AI_Strategy_2024.pdf,already_exists,First continental AI strategy for Africa; covers all 55 AU member states,https://au.int/sites/default/files/documents/43626-doc-AU_AI_Continental_Strategy_For_Africa_draft_April2024.pdf
International,ASEAN,ASEAN Secretariat,ASEAN Guide on AI Governance and Ethics 2024,Regional Framework,2024,ASEAN_Guide_AI_Governance_Ethics_2024.pdf,already_exists,Covers all 10 ASEAN member states; voluntary; 7 core principles; released February 2024,https://asean.org/wp-content/uploads/2024/02/ASEAN-Guide-on-AI-Governance-and-Ethics_beautified_201223_v2.pdf
International,ASEAN,ASEAN Secretariat,ASEAN Expanded Guide AI Governance Generative AI 2025,Regional Framework,2025,ASEAN_Expanded_Guide_AI_Governance_GenAI_2025.pdf,already_exists,Extends 2024 ASEAN guide specifically for generative AI risks; January 2025,https://asean.org/wp-content/uploads/2025/01/Expanded-ASEAN-Guide-on-AI-Governance-and-Ethics-Generative-AI.pdf
