academic_topic_id,academic_topic_label,best_policy_topic_id,best_policy_words,cosine_similarity
135,EU AI Regulation & Regulatory Frameworks,0,"shall, article, regulation, risk, high risk, ai",0.7701
103,"AI Law, Ethics & Human Rights",3,"australia, ai, ethical, ethics, human, principles",0.7144
177,Explainable AI & Transparency,1,"ai, model, governance, risk, data, consider",0.6695
34,Autonomous Weapons & Military AI,8,"ai, policy, development, international, oecd, national",0.6442
129,AI in Public Administration & Governance,2,"india, ai, research, data, national, intelligence",0.6418
148,Smart City & Urban AI Governance,17,"japan, ai, climate, resilience, disasters, environmental",0.6411
151,AI Governance during COVID-19,2,"india, ai, research, data, national, intelligence",0.6187
21,Trust & Trustworthiness in AI,1,"ai, model, governance, risk, data, consider",0.6154
31,Algorithmic Fairness & Bias,3,"australia, ai, ethical, ethics, human, principles",0.5947
181,AI Patent Law & Intellectual Property,7,"intelligent, new, development, ai, research, smart",0.5876
35,Gender Bias & AI Representation,3,"australia, ai, ethical, ethics, human, principles",0.5838
124,AI Research Landscape (Bibliometrics),2,"india, ai, research, data, national, intelligence",0.582
168,Digital Transformation & AI Adoption,2,"india, ai, research, data, national, intelligence",0.5564
42,AI Accessibility & Disability Inclusion,2,"india, ai, research, data, national, intelligence",0.5402
17,AI Ethics from Islamic/Religious Perspective,3,"australia, ai, ethical, ethics, human, principles",0.5374
2,AI Cybersecurity & IoT Threats,1,"ai, model, governance, risk, data, consider",0.5373
114,Generative AI & Creative Ethics,7,"intelligent, new, development, ai, research, smart",0.5291
24,"AI, Fake News & Disinformation",15,"content, generative ai, generative, model, provenance, ai",0.5187
8,"AI, Journalism & Media",2,"india, ai, research, data, national, intelligence",0.4978
15,Predictive Policing & Criminal Justice AI,1,"ai, model, governance, risk, data, consider",0.4919
183,UAV & Drone Governance,7,"intelligent, new, development, ai, research, smart",0.4508
