policy_topic_id,policy_label,rank,academic_topic_id,academic_topic_label,similarity
1,AI Governance Frameworks (ASEAN/Singapore/NIST),1,135,EU AI Regulation & Regulatory Frameworks,0.6833
1,AI Governance Frameworks (ASEAN/Singapore/NIST),2,177,Explainable AI & Transparency,0.6695
1,AI Governance Frameworks (ASEAN/Singapore/NIST),3,34,Autonomous Weapons & Military AI,0.6249
8,International AI Policy Principles (OECD/Multi-country),1,135,EU AI Regulation & Regulatory Frameworks,0.7458
8,International AI Policy Principles (OECD/Multi-country),2,34,Autonomous Weapons & Military AI,0.6442
8,International AI Policy Principles (OECD/Multi-country),3,103,"AI Law, Ethics & Human Rights",0.6375
9,"AI Data, Learning & Infrastructure",1,177,Explainable AI & Transparency,0.5904
9,"AI Data, Learning & Infrastructure",2,103,"AI Law, Ethics & Human Rights",0.5439
9,"AI Data, Learning & Infrastructure",3,34,Autonomous Weapons & Military AI,0.5114
15,Generative AI Content Safety & Provenance,1,177,Explainable AI & Transparency,0.562
15,Generative AI Content Safety & Provenance,2,103,"AI Law, Ethics & Human Rights",0.5567
15,Generative AI Content Safety & Provenance,3,34,Autonomous Weapons & Military AI,0.5432
16,Data Privacy & Protection,1,135,EU AI Regulation & Regulatory Frameworks,0.6454
16,Data Privacy & Protection,2,103,"AI Law, Ethics & Human Rights",0.5373
16,Data Privacy & Protection,3,181,AI Patent Law & Intellectual Property,0.5041
